country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,0.7170370949275785,0.615541487681395,0.7079403563789453,0.7052105473654242,0.6632509512292567,0.674351571983678,0.6696160542605399,0.6863331368058986,0.7935854917566127,0.8910080244957476,1.0004964449654488,1.1123134056908146,1.014075821679003,0.9296677813589959,0.8989894280041919,0.8572191641776074,0.802644702991502,0.8237797156835894,0.8097509727906994,0.8043792509373319,0.8091791016729944,
AGO,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,5.153860421383288,4.909784770260726,4.857467297144232,4.977519216562756,4.973841220274635,4.754650758552042,4.213419368478413,4.128127905953305,4.023850695135187,3.9308394340923702,4.14021995913984,4.004845450123985,3.903150101013923,3.816913315630748,4.045761947441247,3.729686656113566,3.6057923170412307,3.4879701419023634,3.076944348884983,3.0164681249341916,2.6592614652810598,
ALB,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,2.0232908291186837,2.264577852297893,2.2943222080556933,2.421358487387881,2.5669496478125264,2.387524834076986,2.593108813328579,2.7339910848995146,2.75844378983712,2.9410569154290713,2.9934559345778835,3.211488385461217,3.0719890111746615,3.2468743653051444,3.5305063438353206,3.096466383379335,3.063174763334111,3.459247867638179,3.3177782677499392,3.289898959109604,3.2242730321451214,
AND,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,9.236886374063312,8.954027084818247,8.70831429876656,8.390270565728342,8.38032786885246,8.292021148457609,7.667139946910304,7.450231005539295,7.345575959933222,7.068351073276423,7.116299997631846,6.830013851077041,6.890945927911972,6.821839792001981,6.791814474896798,6.8980549536496865,7.050908855682774,7.1171604088470986,6.882401828381467,6.766390998885231,5.849996764382321,
ARE,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,43.713168863333166,41.178155472970474,36.219708753297496,42.02664327542726,41.78365064738851,39.66678159862361,34.715854504344385,30.79992595049382,29.198167539931667,26.523966045281718,23.040941062208436,22.91327671257742,26.581785810314564,26.31033056647229,25.504163039106455,27.745102611537472,26.386140332604242,22.45128860910156,21.700834578795106,21.59556199942562,20.221629054436626,
ARG,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,7.594086116285637,7.565261649134754,7.19181169512249,7.535208194651809,7.689915584990843,7.790620216674889,7.966428807258134,8.290431609697164,8.283400272938039,7.632873883729247,7.869874348997742,8.022007930397084,7.955283447587896,8.080006757823835,7.968220860333493,7.998707965224678,7.960474203842463,7.923748384344299,7.776241657901914,7.499102332972961,7.250406997960608,
ARM,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,1.9742005220880787,2.0093841188506456,1.9479389421669782,2.120653240722639,2.2694591122449155,2.5727359755700774,2.704254908476183,2.9939149871360544,3.2638433905451723,2.918880064153037,2.947193111353158,3.2400081208787235,3.6058038186155863,3.554674517780793,3.5709343796171065,3.4523316740493013,3.5761152285631472,3.633537071756245,4.065397336690449,3.8881195295848703,3.813401169128054,
ATG,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,5.2626731748391595,5.245298658239652,5.606784336764669,5.875603636317788,6.011425442144697,6.0273501755419705,6.081121924681135,6.271644313272799,6.300208445558236,6.513493884232734,6.316028626604567,6.140056022408964,6.2495160772949,6.228827450551853,6.179641753635402,6.316059462867768,6.390181972069403,6.361016505108724,6.480962173615006,6.610719250373269,5.892083980066987,
AUS,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,25.687881793974835,25.70442486993252,25.596140732975766,25.282226042200712,25.83542832159146,25.839919979602644,25.654776571536242,25.831108721120053,25.45978201532293,25.07871674419248,24.464692999875183,24.216625729676924,23.929480173831838,23.088767794403086,22.533952788429694,22.547871713946865,22.570464183091605,22.477975242522312,22.21538370891075,21.643361943439864,20.472289491250763,
AUT,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,10.047973142828756,10.494519411317146,10.65336031854661,11.278811607276214,11.160105169306872,11.230179917448455,10.884497222699594,10.511739696536202,10.406782626585414,9.576520050823875,10.103541572307162,9.807376219412575,9.442477459347229,9.43415917997345,8.951183404950601,9.10595174030705,9.122470946589708,9.320759855623702,8.913501817370264,8.997828809268553,8.276452349166703,
AZE,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,7.044703426682902,7.01499161653023,6.950605424653847,6.448792217728713,6.717630771082887,7.1855431162377785,6.765237991407912,6.572430750585576,7.3259237282333345,6.325971028170354,6.162795885991369,6.126621347111037,6.196357402452553,6.042391678447914,6.303041642339828,6.321675231500265,6.200160445804859,5.977248097301886,6.1973258740065535,6.504205836966095,5.786119080510379,
BDI,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,0.3715391015118506,0.3999665315362117,0.3908045771270733,0.3792066793638186,0.3813963818944407,0.3720370945423652,0.37724192774568377,0.37775561272341956,0.3802560242891304,0.3846309109167422,0.40227737405317854,0.40074093538515665,0.3460959083676473,0.3794429149098215,0.3646779999920766,0.3553137715877722,0.37757429870818104,0.3925368130259416,0.38835371936826485,0.3633816416992836,0.33975901162421546,
BEL,tCO2 per capita,Total GHG emissions (excl. LULUCF) per capita,14.534812827703938,14.387691912853361,14.32334070630522,14.26350259774041,14.297864043050199,13.933136405309975,13.557126412524585,13.081491101762708,12.978557462283051,11.76307899240985,12.298558333622442,11.143056553095668,10.894097487947166,10.842870055729664,10.259560639222371,10.555076388595694,10.413520915556758,10.285571417997009,10.326371083920668,10.183671657536177,9.26869076970933,
