country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.005910454545213929,0.005407059566643982,0.00533593614537272,0.005268818026161284,0.005228610846361193,0.005253761891683233,0.005203749146239531,0.005243648381644913,0.005220109741330448,0.005306410623125934,0.0056293869310700085,0.00548459439624475,0.007295641126653641,0.009044435581955916,0.007618240513473994,0.006180274875606603,0.006271716750754061,0.006103663706560738,0.006289704516758643,0.006259637655537308,0.006277403909917456
AGO,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.008102840771268808,0.008081088783720616,0.008069618380016961,0.008062708823348119,0.008052906397212773,0.008035768584149396,0.008009041729973417,0.00797602095826142,0.007989054688233155,0.007945619923359737,0.007997645212435029,0.007857245735665338,0.007767638803286215,0.03322898843033226,0.031934801673965556,0.03185536596115818,0.030410683518845568,0.028617229368480535,0.027393192543005894,0.02649009030834243,0.019865976264783092
ALB,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.047152845746897,0.05065772797452953,0.058010860796916426,0.05928893156010496,0.0562489824334088,0.051514761443433095,0.0699726223304095,0.07003194678953015,0.06755680283810954,0.04798990387423616,0.04025778612649892,0.03603391410903571,0.037060201503171464,0.037139013786090386,0.03616003906401431,0.03401461114873695,0.031997413453143685,0.03466682682218665,0.03380763843961853,0.03409153852002196,0.030620069989629465
ARE,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.8098729787844358,0.86297341828952,0.8898107962902968,0.9453521759968059,0.8967672903818705,0.9362196763800879,0.8795983785054522,0.8084288729204779,0.7343248291907198,0.7116311053117651,0.6915608244586723,0.7133870259215105,0.724041632108522,0.8177699456224176,0.8859422869007797,0.8622426905149317,0.8579677481245276,0.8486886782051534,0.8522310801429472,0.8266982413229338,0.7793587856911753
ARG,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.07427966100867472,0.10403718323417832,0.1080955483136754,0.12727976566080126,0.13530016504741119,0.14082741804138973,0.15434611992667016,0.13613352087851963,0.1499140423320177,0.1396782316315878,0.144734991738961,0.1414299782436359,0.14210399839015733,0.1510684427753662,0.1585146231617432,0.27688069876063615,0.2688664607511458,0.26795033703289134,0.2539780015517422,0.24231808297042426,0.1331069324843643
ARM,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.07509886069083337,0.07266536419349615,0.05746968521174855,0.054170225359169065,0.05579807470886105,0.05817427091614223,0.060532811458333675,0.06774190465847034,0.06301741253570366,0.05432521463290322,0.0557152456700937,0.05519373830885482,0.05751545785560767,0.05741270684668275,0.05694351572430051,0.05097997942273595,0.04923115506342155,0.04969216605739833,0.050876546455464765,0.050645507269093025,0.04645391970394507
ATG,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.027331191824437225,0.027304061570740303,0.027279264847122536,0.027254579869122816,0.02721797584228409,0.027165728425523554,0.027064875488121858,0.026949854645420032,0.02682129105089351,0.026489118303494232,0.026193125491309775,0.025912647406162465,0.0256597456502262,0.025467624762321058,0.02529453059570882,0.025138520332154187,0.02502564586330935,0.024906493528949438,0.02480594006148605,0.024834425444061163,0.024867265133567514
AUS,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.8878488142849683,0.9405503007263176,0.9477765009617636,1.0347754070790232,1.0237675663523353,0.9893282656853709,1.0439775950217172,1.0483459745722021,1.0658228511661616,0.9691480995034966,0.9790389341291545,0.9326451046784908,0.9083890362511828,0.9017381359728665,0.8903379400286747,0.8941768298574131,0.8515113820659969,0.8251290384141685,0.802731555227364,0.8152355029193898,0.5234611865435407
AUT,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.8023219529739879,0.8610658283402506,0.8856252187681771,0.9405678573077649,0.8562120910806531,0.8281979640072733,0.8200713481090784,0.7928243775199695,0.7775804067321549,0.7242082327628931,0.7830646490352492,0.778548093382905,0.7695945629835191,0.7571742104286847,0.7456332899425205,0.7569231838919762,0.751563932565596,0.7530039627778865,0.7128535668881958,0.7172412428377732,0.5662451851906679
AZE,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.1953982471237234,0.20579341208452512,0.22874250933987603,0.24387751478607259,0.20406880134834163,0.2018004882236932,0.2314068517128192,0.1259316833929591,0.14639115654882806,0.103652489152245,0.09505292751580127,0.1054764540205789,0.10665272503104632,0.10364962959289464,0.10302358030803939,0.10384500186074883,0.12733974330515896,0.07958146799386606,0.11484699730003839,0.13992181068710846,0.06298517059292165
BDI,tCO2eq per capita,GHG emissions from the chemicals industry per capita,0.0033944796924095183,0.003359637146071761,0.003359072540190969,0.003357757247225821,0.003359890400421331,0.0033673962563020568,0.0033642216224031756,0.00338367652367154,0.003422978386690596,0.0034198740661238887,0.0032239146867665495,0.003741950089111835,0.003985457450103785,0.004473978613046001,0.004247171018033683,0.004199125323793207,0.004365449362995926,0.004568894943294593,0.004812555128555372,0.004922339165680955,0.005038259422993325
BEL,tCO2eq per capita,GHG emissions from the chemicals industry per capita,2.110620395366419,2.0473573037465354,2.0445823295461967,2.032625579683684,2.0522439665652605,2.034247019525573,2.0068647542017137,2.06140462887151,1.9824462267085075,2.038755718546754,2.2161584565529564,2.0785748466425518,2.054124630456007,2.0956911000736866,2.0312192679544765,2.013814017513976,1.9792227025875482,1.8904879567387107,1.8653151590952486,1.839983907535743,1.0399882287627225
