category,country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Non-residential [Buildings],AFG,MtCO2eq,GHG emissions from non-residential buildings,,,,,,,,,,,,,,,,,,,,,,0.02107331677,0.01695882486,0.008961241919,0.006502069938999999,0.009144425012,0.01335072174,0.01581560613,0.01606487094,0.01665948902,0.01662555
Non-residential [Buildings],AGO,MtCO2eq,GHG emissions from non-residential buildings,0.3948422425,0.4173825985,0.35910793449999995,0.329273988,0.287308831,0.345535129,0.5970834899999999,0.5719758669999999,0.720457355,0.9412615304999999,0.7397552879999999,0.781803652,0.7306067155,0.7533259765,0.7933681644999999,0.6040506419999999,1.2101983379999999,1.451437337,1.869745702,2.213959066,2.439289295,2.7032930129999997,2.8309869059999997,3.58312287,3.5667952609999998,3.099086355,2.7290817799999996,1.937521101,1.924906142,1.843327132,1.5981473999999998
Non-residential [Buildings],ALB,MtCO2eq,GHG emissions from non-residential buildings,,,,,0.0060066014099999995,0.004003536857,0.003003037471,0.003001677135,0.003001496402,0.17509506673999997,0.18061581813000002,0.18771287442,0.13215444476000002,0.28935508234999996,0.17307808588999998,0.19968786235,0.24181727561,0.15513898203999998,0.1765547575,0.157669596228,0.109847179413,0.09212963254999999,0.0461590025,0.113755747,0.12298141199999998,0.14677181,0.1512290465,0.18068348099999998,0.17405101259999997,0.1801204972,0.15479031
Non-residential [Buildings],ARE,MtCO2eq,GHG emissions from non-residential buildings,4.983314145,5.061687722,5.452923369,6.341330881,6.928614725999999,7.091264657999999,7.499585578,7.641269427,7.430704592,7.380960643,8.068199792,9.179764321,9.990330583,16.75892729,19.614333199999997,19.01128275,19.876653819999998,17.541870359999997,22.96735626,19.31025017,19.4705185,18.46066146,21.377625489999996,20.53196864,21.338796809999998,22.902075489999998,22.85295,23.25635601,22.596174429999998,22.20464475,
Non-residential [Buildings],ARG,MtCO2eq,GHG emissions from non-residential buildings,8.182195703,8.025535572,7.5006213409999996,6.220563358999999,6.656717816,7.074483122,8.002501964999999,7.525296162,8.577722085000001,9.689156717,9.368293131,8.951907409,8.48172823,9.503029627999998,11.524178423,12.200615728999997,12.675074793999999,13.322758804,14.652434945,13.951112638,13.910154771999999,14.965135170000002,15.629000720999999,15.510304611999999,15.363802919,17.112340972,17.705395895,16.115325863,14.962705556,12.958582158999999,2.99718517
Non-residential [Buildings],ARM,MtCO2eq,GHG emissions from non-residential buildings,3.0880675803999997,1.9095783914,0.28706174329999995,0.057257741949999996,0.22813737269999998,0.3589973489,0.4194612315,0.1460875541,0.1353681601,0.10194408991000001,0.11833403479999999,0.1210773969,0.09239765001000001,0.09215808508,0.09469175049999999,0.11202679188,0.17228310830000002,0.21843047850000002,0.24187838879999998,0.17912899029999999,0.18693278000000002,0.26255200910000004,0.3737836837,0.34419571639999996,0.47426146614000003,0.44870341890000004,0.37471379876,0.41209657477,0.4655034588,0.41864462871,0.37080883
Non-residential [Buildings],ATG,MtCO2eq,GHG emissions from non-residential buildings,,,,,,,,,,,,,,,,,,,0.0001133392147,0.0001256717699,0.002109819908,0.01338376713,0.023422469529999997,0.04775253429,0.02752063199,0.02374377626,0.02137204589,0.020579248879999998,0.01998473406,0.01950617278,0.016765258
Non-residential [Buildings],AUS,MtCO2eq,GHG emissions from non-residential buildings,29.142844317,30.430688229999994,31.177407044,31.365022671,31.995657379999997,34.523994734,37.502792696,38.89247060899999,43.04623096099999,44.118404321,45.185340950000004,44.53935849399999,53.61123928999999,55.499064129,58.127310003,59.438421037,60.068465607,62.967712176,63.424512336999996,66.811447347,62.99134206299999,60.598520173999994,60.586177995999996,59.3719701,56.918152121,62.482749193000004,63.308338355,62.98381389099999,60.194578113999995,59.38051832199999,5.8016419599999995
Non-residential [Buildings],AUT,MtCO2eq,GHG emissions from non-residential buildings,5.343582978,5.935437413,5.551402536,5.577318232,5.520607474999999,6.371170837999999,7.587134186999999,7.874163890999999,7.367324850999999,7.7386044179999995,6.430819433,7.710951944,7.480726669999999,8.658525229,8.350128503,8.336924609,8.149791603,6.863724645,7.195566121999999,6.170276334,6.151742501,5.729400117999999,5.102865756,4.877506886,4.3109555859999995,4.661102634,4.369155391,4.694210858,4.272742074,4.412446190999999,1.148461936
Non-residential [Buildings],AZE,MtCO2eq,GHG emissions from non-residential buildings,4.740680696999999,3.746656507,3.9276689429999996,5.11485504,3.665943364,3.018714142,1.883109898,1.850965673,1.9602040115,2.4832776919999997,3.395758001,2.1359987379999996,1.5414804627,1.2422109495999998,1.2779374169999997,1.4904966514999998,0.9949875694999999,2.7054881679999996,2.7986980444999996,2.604370931,2.42568271,2.8888176884999996,3.271031331,3.3957964769999998,3.4175225394999997,3.5676191014999996,3.1455254225,3.500763539,3.8163900802999997,3.9232658881,0.5872008599999999
Non-residential [Buildings],BDI,MtCO2eq,GHG emissions from non-residential buildings,0.0005954148,0.000551034398,0.0005635267949999999,0.000578711333,0.00059227116,0.0006427746749999999,0.000660099885,0.01587992049,0.01646949746,0.011681738419999999,0.015078684839999999,0.023207516049999998,0.02391250099,0.02413591125,0.024584400779999998,0.02457153693,0.02517693624,0.02674810898,0.02611963606,0.02680678565,0.02757433999,0.028492618509999998,0.01887925401,0.020742352279999998,0.02063244185,0.02137146555,0.02371213139,0.022114226839999997,0.02221827119,0.02366512799,0.001826538
