country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARE,MtCO2eq,CH4 emissions from energy supply,24.67393414832,25.912917646670003,26.91682384669,30.332681926690004,29.582133177029995,31.178602933839997,33.155610033260004,31.845084148309997,30.39227348226,30.084992125600003,31.533632510719997,32.10782842794,30.483020790109997,32.244800117249994,31.91068520279,33.274812046639994,34.58854863264,34.15933810391,33.7885677473,32.55573101465,34.01873570416,36.30469719585,37.730385526,38.618425761299996,38.7538786757,42.06999381279999,43.114783104199994,42.633439504399995,43.6107288249,44.3493887720661,0.0
COL,MtCO2eq,CH4 emissions from energy supply,7.344131018851,7.0597606997549995,8.046649571714,7.360141861988001,7.619962658721,9.009678213256999,8.556778352057,11.557635147256999,12.651720845104997,11.128958939865,12.355270704409,12.913296989018,13.148866391343,12.650410732436999,12.266945249975999,12.298852147797,12.643515325007998,12.959298964059998,13.437990280125002,14.864172361437001,15.898944641854001,16.809360210639998,17.111632293208,17.38834155143,17.531111156487995,17.08193629845,16.35326078432,16.19025321798,16.15836411454,16.147957629011998,0.0
EGY,MtCO2eq,CH4 emissions from energy supply,20.406517800370004,26.086333698540003,23.078529898899998,23.65496885762,23.447019332709996,24.841858128139997,26.03804391056,25.347678865939997,22.956621035179996,24.92870262199,23.739896765580003,25.309541419739997,26.458046116379997,27.95639984626,28.99257245591,35.36367795656,36.83589751036,37.25792875716999,38.55334007177,39.899857692590004,35.97736501872,35.54269325242,34.606022505149994,32.449520059049995,30.90580742077,28.988085906969996,29.482251082139996,33.03281661443,32.79490304884,34.9979716943613,0.0
