country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BLR,%,Share of fossil primary energy consumed,99.9686980302232,99.96445653553735,99.96700282517092,99.96810382172642,99.96562191066033,99.96271476552306,99.96398472539312,99.95030588454573,99.89956228796387,99.80309275931667,99.74322239329435,99.75101880117823,99.73676498782386,99.68523975442018,99.69568363149685,99.64260195617486,99.57822138414141,99.23726117476463,99.3740730174546,99.23898222907566,98.65806774902863,94.25610133838258
BOL,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
BRA,%,Share of fossil primary energy consumed,55.96360156341048,59.09206043535451,57.55664891242054,56.1274881116715,56.40468320996867,55.78099599905734,55.5027326361473,54.39969437601127,55.317049680017895,52.47081812101983,54.51931549561928,54.82488734408128,56.669912107214046,58.993831596545995,60.01664774237461,58.29081232896657,55.250979120720636,55.53850585638194,52.75506190988614,51.52537996311928,49.46574428754261,52.72243618110032
BRN,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
CAN,%,Share of fossil primary energy consumed,64.60819321441433,65.78790014005216,65.76578345860247,67.24275580664354,66.58513243338545,65.11379155317218,65.3418674767676,65.87334564782125,64.76494856625958,64.34180986103951,65.82458094316358,65.0604117751618,64.68306690633652,64.34945199904172,64.95426998048264,64.77047082277862,63.85487024991053,63.983266753392364,64.96704720180726,65.15879728725842,63.05741548085844,64.14673725459852
CHE,%,Share of fossil primary energy consumed,48.90785426237673,48.782677830542845,49.93186954295791,49.819297529717225,50.602323765319504,53.823152801054434,52.554761947036674,48.70322359313535,50.14317663752056,50.536292368825485,49.88826625530221,50.076436844939366,48.90001449861465,49.96132897061539,46.657361771233326,48.78223222631697,50.10910449002611,50.97562719653303,48.19759762471236,47.19984931909303,44.36643867252634,47.07300016482316
CHL,%,Share of fossil primary energy consumed,80.42659807745063,77.95263757836636,77.38273237499548,77.98919436619573,80.23155673911099,77.58476142409543,77.433340611293,81.2938638727124,79.0846204517801,78.22256829937292,80.73565700011532,82.49767382318171,81.90403901434254,81.56758655506945,79.80683604992771,78.57232770648595,80.29366320680744,77.59496883391294,75.65670522086756,75.85500526197029,73.44246916619743,73.48112577814499
CHN,%,Share of fossil primary energy consumed,93.94061379286221,92.98638862889362,93.20128081708428,93.93638790738356,93.64506450140708,93.75179269674464,93.77231689122743,93.608464565559,92.02252117714113,92.373253434799,91.69883193341332,92.17909264938456,90.68436920207763,90.17905247474881,88.80853127949193,87.95731028440638,86.94261890047785,86.15395190994606,85.25123403412204,84.2777904612957,83.50588045139835,82.71716544273539
COD,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
COG,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
COL,%,Share of fossil primary energy consumed,70.44392797886361,69.39551239238014,67.30744820436864,66.61086917866136,65.49454558283864,64.94647705000308,65.85728072443212,64.81723836682967,66.0585929673925,68.62225494451928,69.90796282273168,65.48432527143483,68.25386509941256,70.6148926934833,71.63531290407995,71.97838069319828,72.29118769758338,67.17094102103609,68.00045213491728,70.10965310277261,69.22721215857861,66.97959200768047
CUB,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
CYP,%,Share of fossil primary energy consumed,,,,,,,99.9873412769928,99.94101472286589,,,,,,,,,,,,,,
CZE,%,Share of fossil primary energy consumed,90.28279433073567,89.7411860961101,87.24715354575866,84.7846352644955,84.66925019205061,85.18949328111789,84.5799400107509,84.48224434219883,83.6592933420806,81.9488873535742,81.60160618474274,80.12742787425292,78.6024630907093,77.34462548572775,77.16154226718317,78.63376587844807,79.96467172827496,78.52613667104858,77.87625903772808,77.04754408684022,75.20424922905504,76.04349052323572
DEU,%,Share of fossil primary energy consumed,85.04573857975004,85.17234465513707,84.95244081391358,84.90416098215198,83.96260281254526,83.48632647704979,82.72524434009891,82.55218670673639,81.98631746259377,81.75202313993226,81.47664733748647,81.7301874655215,81.14389104770547,81.35940499635831,79.91163387704881,78.8989389607771,79.73159258126108,78.7936003998781,77.82749619804322,76.09286093402943,74.14997539299235,75.61304716453874
DNK,%,Share of fossil primary energy consumed,92.90432893419259,92.59748513414351,91.41304896520538,90.53720325263185,88.27088099264425,87.51116103257598,89.37162964099598,87.54986606820245,87.36443635265898,86.62138401560485,84.2106630221495,80.67182743885341,77.85203280882614,77.45092144010096,74.10914855912577,72.05056387423868,72.9995003571648,68.40443518554807,69.54653693527413,65.80936888231001,61.02694834197083,59.06563941950582
DZA,%,Share of fossil primary energy consumed,99.94676452123589,99.93478151752961,99.94832323712204,99.77189601514453,99.79321308640728,99.56588119326814,99.83672803825469,99.84009536621934,99.81224568960276,99.78721452117661,99.88486591095771,99.76474008866548,99.77546804582174,99.93523680637632,99.882497400146,99.9031866904658,99.85419287734686,99.75298170433473,99.71231874776173,99.70525322011211,99.70210051957831,99.73863201458447
