country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,tCO2 per capita,Energy GHG emissions per capita,0.22799944345577547,0.1992628627561618,0.10700323764183366,0.09483706391784177,0.08550147905846239,0.08116765693048658,0.0758482110748572,0.07025836376743119,0.06687685589608147,0.055525680205694886,0.05389809035697236,0.0532235120927522,0.06415709479684191,0.06714280061742661,0.05297919183599551,0.06821475439141252,0.07868934422948717,0.10368796314110618,0.17278520479609885,0.26096321982266757,0.31488227154905735,0.4416050237518756,0.362628379271289,0.29470468669080163,0.26580120754657277,0.25513166988065733,0.21309651621675793,0.20360308023082696,0.20311029383952758,0.2760124880667315
AGO,tCO2 per capita,Energy GHG emissions per capita,1.99183264217022,1.902211471870007,1.7697211922769684,1.988521032892891,2.4733864726346813,3.3775050277138274,3.7845324699692138,3.557122273287585,3.691502382874554,3.6176004708174663,3.2325988441812337,2.9978012779957317,2.871099941790304,2.8143401335332654,2.6761718034060737,2.541988609009425,2.3672568183323945,2.2386603244335426,2.2677371615194875,2.22525486607941,2.4276160463622434,2.283174777235633,2.294096385902061,2.1986650720451038,2.509114749055305,2.16608725028134,2.114935878264568,2.042474823479365,1.8630443631434388,1.7910279491796761
ALB,tCO2 per capita,Energy GHG emissions per capita,1.0162657285377763,1.6070821815911032,1.0594267577321985,1.031826422626807,1.0911802704630593,1.0226539815746611,1.0321862177572014,1.089483435563725,1.3265015838109273,1.4346473115803058,1.0132640472226366,1.1502617662465489,1.189769945034595,1.2534478039331283,1.341289005163302,1.3216062363875387,1.306579311870457,1.3770964947338684,1.4080617131394892,1.5337218989868213,1.5104594165301246,1.6590968936680672,1.465314623736511,1.5992583309960444,1.9002431203584227,1.4788056943044805,1.4707411179231886,1.8096668925270154,1.6501673192909794,1.7973569393218602
AND,tCO2 per capita,Energy GHG emissions per capita,7.466793865120717,7.323615571947905,7.166876125131619,7.084987043657953,6.908545535771268,7.218916379580333,7.628606497521869,7.8049690599832084,8.247583411287808,8.575689783743476,8.609879186419942,8.374910905203137,8.1515532206487,7.830008198961466,7.855737704918032,7.78486389167121,7.18562874251497,6.954355240560219,6.856665871690914,6.523721007328827,6.524261728278116,6.209103500979127,6.296480522159002,6.289463909867525,6.223725903576433,6.3339017604143955,6.468723720809884,6.519734535111757,6.3499896114689385,6.040494646514402
ARE,tCO2 per capita,Energy GHG emissions per capita,29.4240381265529,30.818327251402703,29.51933175247407,31.981446159580518,32.81936665160085,31.427283105164634,32.137105714930485,30.47135898143306,31.423133824870774,29.534438132600865,38.927055484136105,36.636447148745795,31.332922651662127,37.17741520518565,36.62214086153464,34.871895910877896,29.999026446688898,26.260989494631573,24.543387207478794,22.482218838381645,19.06433194487297,19.336570103784847,23.08130372829783,22.722558216498797,21.488613964864165,23.642713898547495,22.540387085746943,18.762109729671728,18.274387013722194,17.911011136964376
ARG,tCO2 per capita,Energy GHG emissions per capita,3.0228107553691377,3.1137577850746525,3.2210614471155394,3.1498285418798995,3.226493851392751,3.2732126478774304,3.6883224533495302,3.6458031561325295,3.826588864166105,3.8390644441262287,3.715677849754044,3.5680134728188735,3.343794367473925,3.5444359103762864,3.818978347951534,3.882454299399037,4.046844026690235,4.384605167438622,4.491000147978455,4.1252101572258395,4.413013653643594,4.58054229258323,4.57668415207617,4.5968366892018295,4.452829304304011,4.544193510678368,4.496406178539259,4.4046051190911,4.3376145664019345,4.027707781210997
ARM,tCO2 per capita,Energy GHG emissions per capita,6.528809857315829,6.133658407719394,8.045729953933112,3.449187374428022,3.502185363666928,3.7919417508016697,2.679744070237702,2.773627620862659,2.325737746208935,1.676907239189128,1.2053699557303452,1.2193978665782057,1.0876816428343534,1.2260026547927758,1.286360084179937,1.5261993075415712,1.5583268910094004,1.8413600148672773,2.0876216417923286,1.78664544852072,1.7898637409750902,2.071936523652059,2.3576409583255757,2.274301463318002,2.2764706670059054,2.1260894071867975,2.2069739696275428,2.322747062692777,2.7610823578355963,2.6371593331097385
ATG,tCO2 per capita,Energy GHG emissions per capita,3.566117090176387,3.3931474204188565,3.2889123318698705,3.3294312601669276,3.2588800761893424,3.305568499534017,3.43422252621979,3.6258663728785194,3.755855720509704,3.8433725259126335,3.920691515255174,3.9113091229342585,4.265753914531661,4.5012671634451715,4.629917731838153,4.652476001080259,4.714985190110621,4.9030691784978995,4.953509614258613,5.176210184107076,5.2254913097807565,5.042016806722689,5.1544681274680055,5.125122937383893,5.077677664700418,5.215291062401813,5.279305966991113,5.313073094052921,5.42157412600486,5.570715131545076
AUS,tCO2 per capita,Energy GHG emissions per capita,17.169544860563374,17.067808377690348,17.2049156901972,17.207222505235748,17.08204984598152,17.540947321823815,17.694282125498333,18.091483501647136,18.598685265351932,18.704427771319878,18.952644494335093,19.110905063617164,19.031722930681784,19.049629562612463,19.475938273199716,19.514778276815658,19.518888389643394,19.781443853348442,19.62426820774429,19.454445709649313,18.927230020311594,18.531761648957943,18.47496631067899,17.85704325671999,17.337086549888255,17.509241163344218,17.651260450879334,17.43770592955167,17.251946628000958,16.95199569340463
AUT,tCO2 per capita,Energy GHG emissions per capita,6.942047578423648,7.324409846637432,6.657561197590677,6.640834453104514,6.564922547774618,6.869412468964976,7.387847016786119,7.228878465861308,7.208414313077605,7.031746961209281,6.939966543369923,7.435690293800538,7.547676880735692,8.188220217072796,8.149813643375412,8.16740357632615,7.764274685525711,7.32928639391515,7.198224934555037,6.807839034878549,7.138241797239497,6.828221839275098,6.548049695426722,6.521362533156648,6.049361856679034,6.16705499057644,6.249522129031343,6.388130535195758,6.198729690252419,6.216272218668637
