country,unit,variable,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,0.8836819424630883,0.8496057296980208,0.7854473332288577,0.8329937591586603,0.8143899576434062,0.8911863931985239,0.30691941438757947
AGO,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.103283534712433,3.1692136568469516,3.0515195521748093,2.7646499618590465,2.631092041270847,2.54397834509206,0.6850063195796979
ALB,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.070704378007161,3.026997013215177,2.9577526010216606,3.1721097326982792,3.1832918002428854,3.259539583087116,1.798229112748423
ARE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,28.06332574341361,29.546742715929202,30.273125952516306,30.583360243546313,29.78695129836382,29.319343663711297,20.538748635040037
ARG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,9.464002038849763,9.51363392063325,9.503223422408361,9.30885488602051,9.140465092869228,8.824200943258298,3.889866714276203
ARM,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,2.9933646384260695,2.835803734244293,2.8831676882349555,2.964449017867494,3.011406693313879,2.8947292994988043,1.9636615305777403
ATG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,8.804126699609373,8.669180921834927,8.45633888888429,6.735243672173329,6.503991838992719,6.319717797576255,4.669264852136263
AUS,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,24.831731403429917,24.812938894729776,24.36778366479934,24.20123820310781,23.679948597702936,23.631370307034146,15.040483849679374
AUT,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,9.940420721967351,9.936477766017306,9.857972156660868,10.097536304563103,9.768286027542946,9.920056144190486,7.14277364847888
AZE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,6.149912612769123,6.053815985449162,6.003606432427679,5.884664196838998,5.886503793206101,6.205091982233541,3.3581956133291184
BDI,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,0.5260667721496325,0.5282244054424128,0.5536436084005417,0.5772736356191598,0.5710071547463669,0.5806414733209361,0.024108441827328242
BEL,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,11.60843731975223,11.982336033019473,11.814862198958611,11.580534458814371,11.579025897365058,11.349387139961772,7.283274999430451
BEN,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,1.3152565574069934,1.3343971861670834,1.4619692324149434,1.461475801440369,1.5320459515276184,1.5271413660907311,0.6059159755874646
BFA,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,1.508093893043904,1.5429676332865208,1.5122586923252004,1.5330759873509605,1.5240895976470303,1.513067377401036,0.1554625476444412
BGD,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,1.4960965056880169,1.561744224016215,1.5610442267897338,1.6146606068771299,1.6504205416738165,1.723951599449685,0.6588408817991018
BGR,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,8.356496871073643,8.79233304535489,8.505431346672237,8.959330604665354,8.583297290562312,8.420399351824122,5.4820067844491245
BHR,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,46.7138707649158,45.766136297724444,44.12584908578863,42.02156766168539,40.64571146355187,40.74817203874886,21.5518410503631
BHS,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,9.21417941926961,8.582709787350348,8.611711296043639,7.038788171302085,6.803338950909799,6.609136489291271,4.800528891157742
BIH,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,7.840693126175653,7.93901061519023,8.919065659179454,9.184875139157173,9.407868960293678,10.401674341223472,7.142277173814432
BLR,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,11.134203168526485,10.61243539916073,10.613850200392232,10.666261944993275,10.95813360660848,10.869814312801456,6.286745895706076
BLZ,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.022858096644838,3.162197280301225,3.128724688650078,2.8252838211509546,2.7553391856000577,2.8378930268988674,1.0139583946320743
BOL,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,5.09358353274739,5.04387188153673,5.167625432272204,5.2588784896656815,5.3056623523527415,5.178467542100297,1.768146497357284
BRA,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,6.601666936234912,6.466914185435261,6.308961023210675,6.311252854866141,6.173103529843893,6.176359775593707,2.125526443220869
BRB,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,6.599376100956727,6.783566762560151,6.689686808234837,5.61499748094358,5.472081908568239,5.3967511829831265,3.955649142397807
BRN,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,33.196406384196074,30.798837981036314,31.201094694312403,32.37474684255055,32.024225086626025,33.31740000987985,18.24262491408809
BTN,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.1175571644834252,3.244328915447632,3.2806142243297867,3.101974748736324,3.2508667379401537,3.4565162513889507,1.8894207148281779
BWA,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,5.7486490454846,5.850874734600012,5.521461904686968,5.501490830907868,5.8554706909878895,5.5268533849819175,2.999931918566948
CAF,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,2.2752619831496377,2.3087326594343502,2.3796554921568123,2.3917744295695,2.387382693951772,2.3785268546255898,0.0733174438958094
CAN,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,21.81963557707831,21.775717452312286,21.270805460891758,20.97873262546724,20.946988814092528,20.69945499292709,14.269908530001311
