country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0020100832393445283,0.0019078740927936657,0.0008457024878882467,0.0010187355710015902,0.000964571754835433,0.0013046471843249196,0.0015010175001318425,0.0014263506268620014,0.0033488335862406128,0.005679817347581103,0.004499518607023876,0.006226536009353526,0.005174269652003195,0.0040361872471148695,0.003260927069662451,0.004028559848848143,0.002662249145550799,0.0035371269610675374,0.003553532583007141,0.0035800416815658636,0.0033961737799203928
AGO,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0,0.0,0.0,0.055674500262864884,0.057041828938458605,0.03835825626579609,0.03285081352492729,0.0318153099444353,0.04472605261721758,0.030399286679229063,0.030679176491839637,0.030646127174073702,0.006783193549447037,0.00679294605590621,0.00620114102364384,0.005069161605888315,0.004011539818244491,0.004332286707523541,0.004165353084070331,0.003862018088188268,0.0032362786063814724
ALB,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010771141201230416,0.0,0.0,0.0,0.0
ARE,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0,0.0,0.0,0.0,0.0,0.1162570328985825,0.11215387751567306,0.10104398587677502,0.09427360212009728,0.08238679520770033,0.079669646074771,0.07937350210321525,0.0727564817332812,0.07790363024940018,0.08997105906959511,0.10996097516370691,0.1101866475447269,0.11519792982254205,0.1036913360715841,0.09810002885208022,0.07821054760171478
ARG,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.04009585263632496,0.03174821011811358,0.02662286619809492,0.025525441882199434,0.029935247039837142,0.028826752290468053,0.026961020340201633,0.029040463026401144,0.030923562603631393,0.03184054790596675,0.02664959585498376,0.025140727055663767,0.027017663532772206,0.0338562462302681,0.033413411500017566,0.035361468823378005,0.04019121414620771,0.03857798463478478,0.036453077775766535,0.03259950481001769,0.028869195892179435
ATG,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.04338172126251529,0.0417021529943532,0.03792249289892462,0.04691566623797456,0.06153899366497816,0.06340839656526968,0.06526659429365894,0.06483374388603935,0.07110781997564232,0.07161865272125705,0.05054364816539816,0.07654231743417367,0.07401105409979315,0.07281470387935744,0.07412583296601197,0.07418633760459971,0.073239283008887,0.06983754591564055,0.06721650090359567,0.0650431799721979,0.05534955681725349
AUS,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.29203237492820966,0.3168426745479833,0.2817738482245539,0.25585066482704544,0.20384223888828162,0.1963048764390923,0.2685002538421772,0.27612131445773874,0.30202822501552995,0.33442495134083544,0.3338055512158589,0.3637617577760884,0.37146866419175434,0.38913687051814694,0.3886377326311146,0.3830234714526939,0.3907876071781848,0.3797652808364895,0.3829350574685958,0.37394237878682457,0.31794629698122856
AUT,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.01314853007514386,0.012327905982783766,0.012651461521015268,0.012207790677815944,0.012891201333926254,0.01295418481594598,0.013543157708745607,0.01380329430930336,0.013473900245821183,0.01311647391572878,0.012682981773928414,0.012516896691148563,0.011696670909850318,0.011562090090795528,0.011100467728000097,0.01104133037607812,0.010744768307551573,0.010161122584360265,0.010044760512417763,0.010381921734655266,0.008915751098143921
AZE,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.006543281348309023,0.012221674293569384,0.0064445149884666455,0.01279172326058707,0.012307281707096853,0.02362592147142763,0.02628883396290905,0.024548396816333192,0.02050322210557546,0.0214668476535174,0.030450836947441284,0.0344469264855585,0.036325201908736254,0.05132010881402293,0.053607482150908235,0.06067781084739362,0.07272916550349606,0.10166841018291699,0.09507957228592089,0.09400205504972275,0.08119996778003552
BDI,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.006454183207341864,0.004653814799558535,0.003880292024991207,0.002888457744724721,0.0037064739455792235,0.0025971478848808606,0.003095817864442648,0.0050075204070704656,0.0028684555292425497,0.0026378518673235317,0.002900196813917091,0.0002822711381913256,0.0002387044046761018,0.0002652491049025492,0.0001942718878668988,0.00031961842863911674,0.0003702516308635334,0.00018454485144097954,0.00018797093933011126,0.00019006553063216175,0.0001510410460002585
BEL,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0012456894525057919,0.0012694270296123972,0.0012612825070878759,0.0016391916053890207,0.00121673738959578,0.0009781619110613548,0.001026373353970503,0.0011070060353670817,0.00127193281533016,0.0012083566395124786,0.0013356721822947383,0.0013764697963375397,0.001200528638331449,0.0010598478978318471,0.0010224809276998057,0.0008265978357126308,0.0006514218593218044,0.0006489172271717016,0.000639212769625487,0.0005952762473256982,0.0004113559306324253
BFA,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.010589603634612171,0.01115833829862208,0.010708525475720236,0.011089449129424946,0.010074943732341534,0.00944214643417659,0.00901590505086602,0.012331851001706492,0.0133386708804964,0.011855723739454033,0.012364941774898141,0.0011692200101791359,0.00132306980969211,0.00151611162521699,0.001269289800443295,0.0016960336396067367,0.0013300904734706792,0.0015303520943524061,0.0015634402605862268,0.0015327192071523871,0.001318986763702803
BGR,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.007583414400578102,0.017019713035428763,0.010278117681900371,0.009164570955022213,0.007628233276228932,0.005259015997186045,0.00978149483845725,0.016422813517432883,0.005375819598932861,0.009571909676788445,0.006284058897730934,0.008853951810534314,0.00466511832374107,0.005117708903437867,0.0038603691961365113,0.0056114108070071415,0.008257764774428992,0.008772234725613405,0.008899795115669852,0.009359328878956717,0.008472972873580457
BHR,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0,0.0,0.0,0.0,0.0,0.0,0.030142999948874344,0.031017414395264516,0.028826831852293778,0.018967354808767378,0.056956446467944906,0.05783124951394708,0.07165919013309825,0.10995385660696456,0.09862370948293993,0.07730337579901053,0.07210498929367726,0.05911739829339451,0.058349722314965845,0.05635457137738823,0.05116041944471707
BHS,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.08525657477897632,0.08356842365622665,0.07333143572224914,0.060003812782836126,0.08366724763478658,0.08125889443678273,0.09392037367988593,0.10218947075613465,0.10681100253142457,0.07708376913615561,0.05860140726778912,0.0786552268600017,0.0856851995566325,0.07860925635005801,0.07698963143338954,0.07235788949759486,0.07369577054055985,0.07206459170816426,0.06927763400624942,0.06694895955181958,0.05689869497111238
BLR,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004264717427154809,0.00721315402367462,0.0068761483334453715,0.007197261192101403,0.007205166851341089,0.007600773783913925,0.007266436723745981,0.006640795176777023
BLZ,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.013006468573854678,0.012852086463217652,0.01025526774192319,0.01206884229181822,0.014001648298832617,0.01511709879914587,0.015701564330777313,0.013525996886610417,0.013066009337661574,0.01378892113902528,0.010905914337990168,0.01325423335432842,0.01350526154064633,0.01435315198708733,0.013728385096472211,0.01548364840161141,0.014745521068189653,0.014085874834675006,0.01341847531658622,0.01421165927844427,0.012007930416150054
BOL,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.0312729347716336,0.027315547611466526,0.0275569062597866,0.028136479425813682,0.027972337359924593,0.02016579907869122,0.020498088276568793,0.017796989351188973,0.018484586199373203,0.01882782798622935,0.020119738009196704,0.020430882690027595,0.017316173446138283,0.02161750003201366,0.02488604196864396,0.026288171401098022,0.027939556040697536,0.029776797497474503,0.030430281886773176,0.030082972642820328,0.025378812988471115
BRA,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.054898715483354024,0.055658053547705755,0.052643803529583054,0.03718180417712973,0.03919267618288593,0.042049620004840985,0.039025687415606046,0.04240135269235813,0.04487378797421628,0.044718851639519726,0.049911469608017144,0.055284835003616264,0.057768349825336573,0.05500317694495009,0.05515340494008633,0.05394092486874923,0.048949513583073784,0.0483877225470878,0.04493193145898406,0.04543348581145072,0.04288059062113783
BRB,tCO2eq per capita,GHG emissions from domestic aviation per capita,0.037261465318163906,0.03663281362892394,0.03177953904755634,0.03818570055881398,0.049056441116959636,0.05098570382165604,0.051567539598161995,0.04769329263260627,0.061436671965307596,0.056283367436598876,0.03998517327057289,0.06445644199203496,0.05729347027472877,0.05753939031425214,0.05059777940840867,0.0530344935460016,0.05273044930335411,0.05207889784054026,0.05050202490929388,0.04922652401740639,0.04218937540670423
