country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DZA,EJ,Energy use,1.079804321,1.118926679,1.159021902,1.212919626,1.259200089,1.318577521,1.365192147,1.438703148,1.52480494,1.615893631,1.580381636,1.672157818,1.827618708,1.933116528,2.108207821,2.223065207,2.221185043,2.245660786,2.416901326,2.50158526,2.355888634,2.464502678
ECU,EJ,Energy use,0.374863749,0.379738657,0.374793732,0.383786716,0.410601368,0.434609258,0.459668434,0.483309195,0.515826358,0.503298422,0.558699198,0.592719475,0.626160354,0.646232942,0.67882737,0.676966124,0.674653825,0.700439175,0.741212449,0.760704504,0.656447824,0.762230635
EGY,EJ,Energy use,2.046720382,2.135929826,2.196877777,2.325569911,2.455393795,2.517899855,2.651919615,2.82448584,2.994617272,3.10201684,3.222402367,3.377084958,3.510775842,3.485318787,3.441192339,3.498193476,3.692097897,3.837248637,3.840690674,3.771680825,3.541314934,3.794049759
ESP,EJ,Energy use,5.499493154,5.752271207,5.814270196,6.144730581,6.369587346,6.413209817,6.505919962,6.648575281,6.46493398,5.993301435,6.15557631,6.039465842,6.005973584,5.705607338,5.59998423,5.669864063,5.723907323,5.789199646,5.89348886,5.728983712,5.182009857,5.591630176
EST,EJ,Energy use,0.199270396,0.208103427,0.20738537,0.226168859,0.230763342,0.232083393,0.229257504,0.265519012,0.24427437,0.211382309,0.263335239,0.262668178,0.264537921,0.278526441,0.266321309,0.246297302,0.254005487,0.281734121,0.279531694,0.225210457,0.211371148,0.23716471
FIN,EJ,Energy use,1.293913713,1.321881974,1.328705055,1.42278544,1.416808553,1.287097586,1.381788446,1.377686529,1.328555905,1.231436064,1.338523516,1.260971917,1.226525535,1.231778679,1.188962837,1.185287948,1.204082635,1.180132994,1.20331367,1.178508842,1.129152232,1.158714988
FRA,EJ,Energy use,11.18631366,11.32351312,11.20719332,11.32259008,11.41548589,11.34864204,11.25767108,11.06046644,11.09488996,10.47590467,10.79184447,10.37271778,10.37899494,10.49001797,10.04997775,10.10939847,9.939402462,9.865927736,10.04804871,9.835681561,8.857057185,9.406049403
GAB,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
GBR,EJ,Energy use,9.592187854,9.682614933,9.475786813,9.626113822,9.67777609,9.786827938,9.667463081,9.378641822,9.207660861,8.756008331,8.961847034,8.481811087,8.587790415,8.557972266,8.080716167,8.196691241,8.110050681,8.089421266,8.055462247,7.867289847,7.060205619,7.179401539
GNQ,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
GRC,EJ,Energy use,1.342987575,1.353690804,1.354934028,1.433937807,1.433627209,1.43857839,1.480693769,1.509652869,1.465486167,1.413640079,1.347311948,1.318223661,1.240678548,1.166953122,1.097086234,1.109914144,1.089106436,0.947622549,1.147698871,1.119773883,0.996553786,1.053126197
HRV,EJ,Energy use,0.347580412,0.365463771,0.365835405,0.382752664,0.397951997,0.393430826,0.388619295,0.39044052,0.388322094,0.383420705,0.389746741,0.340032334,0.315341534,0.345855048,0.345643512,0.3276791,0.341035872,0.341220247,0.353377575,0.344927492,0.328962486,0.357841
HUN,EJ,Energy use,1.008758034,1.033228494,1.0220208,1.023793632,1.040096145,1.111610252,1.094977211,1.080570724,1.065442211,0.981341152,0.999647736,0.969356883,0.904218884,0.857102278,0.857971993,0.903914848,0.920001429,0.969837181,0.97696001,0.989963874,0.974150816,1.015892667
IDN,EJ,Energy use,4.188876561,4.486751241,4.608195207,4.999179088,4.950996009,5.094200764,5.200793164,5.576480726,5.627998342,5.806811176,6.366625216,6.785083993,7.0286446,6.778798695,6.86464865,7.003192416,7.072464257,7.390629497,8.194866622,8.746008034,8.098667004,8.309739918
IND,EJ,Energy use,13.42265168,13.47786917,13.91670459,14.41468148,15.65129454,16.57299639,17.45899348,18.94720102,20.0545086,21.61164912,22.5700519,23.94255798,25.3731164,26.25964002,28.07918297,28.9087283,30.16396772,31.32377633,33.33726204,34.14827042,32.1908858,35.42836866
IRL,EJ,Energy use,0.621830039,0.659039972,0.654741355,0.637683789,0.646257192,0.674896227,0.689201581,0.70938779,0.706642737,0.645830264,0.644826683,0.616718326,0.605675583,0.592955764,0.590845836,0.628133757,0.654044307,0.657044598,0.67171823,0.672148033,0.629668425,0.627178634
IRN,EJ,Energy use,5.027644639,5.371709877,5.854923609,5.962300104,6.595048566,6.985079526,7.632974032,8.114369067,8.361593911,8.588965757,8.723463913,9.116568979,9.215706765,9.560192795,9.994844085,9.935994776,10.39948217,10.83442909,11.18856129,11.7448099,12.02317914,12.19029192
IRQ,EJ,Energy use,1.161584451,1.297602557,1.2333446,1.094662941,1.173758021,1.10996103,1.078855332,1.087844852,1.245286604,1.222248119,1.369528749,1.408932562,1.537286322,1.706754811,1.622450619,1.567385359,1.799143612,1.901398706,2.291713959,2.225107977,1.986157165,2.123094793
ISL,EJ,Energy use,0.119626619,0.12095939,0.125680905,0.126311005,0.128810883,0.129255096,0.141776116,0.162073641,0.203222764,0.202878128,0.202989689,0.202958839,0.204833243,0.211380096,0.21106703,0.220346359,0.221190022,0.231284149,0.23925082,0.227981257,0.205599754,0.210186852
ISR,EJ,Energy use,0.818538997,0.817967843,0.834419786,0.859812064,0.876921319,0.881235381,0.878653001,0.919135736,0.945881809,0.919108951,0.955830804,0.973726597,1.018583776,0.964040708,0.940686481,0.992445964,1.012728805,1.033240329,1.05022584,1.087388338,1.028635266,1.051429899
ITA,EJ,Energy use,7.55742669,7.551132568,7.500067401,7.739224497,7.911071424,7.920898822,7.884243156,7.733878205,7.602858316,7.098139774,7.332237862,7.192485011,6.997958683,6.690960699,6.344352426,6.519272338,6.541363604,6.617740067,6.67310468,6.556385551,5.92384237,6.35520986
JPN,EJ,Energy use,22.47291306,22.26014151,22.29278493,22.21276211,22.46943395,22.5469297,22.4953339,22.25450472,21.86365785,19.94980751,21.26726693,20.14408261,19.98913771,19.84350747,19.34156132,19.06748523,18.82305935,19.05243271,18.9508772,18.50738821,17.13192222,17.74027404
KAZ,EJ,Energy use,1.331090623,1.498290011,1.52619709,1.672886717,1.777689416,1.827032401,1.966182391,2.178535933,2.297327827,2.0615905,2.211795331,2.510086421,2.639411121,2.651269308,2.706726603,2.568175776,2.622926336,2.759766774,3.065180198,3.035945436,2.893022892,2.849647999
KOR,EJ,Energy use,8.085286339,8.280429642,8.661925597,8.9398713,9.148878807,9.458854299,9.614092432,9.901901613,10.0663698,10.12172656,10.96235588,11.49941298,11.63976084,11.68300234,11.79278971,11.99779991,12.34599174,12.48366371,12.67605178,12.51122119,11.98634979,12.57552414
KWT,EJ,Energy use,0.76299532,0.771499218,0.816586435,0.975926549,1.090219379,1.202735113,1.156070289,1.123057083,1.214892728,1.257779726,1.414672016,1.452837388,1.513131073,1.546419853,1.571837317,1.633345034,1.6150952,1.64604922,1.677224867,1.726224873,1.614130895,1.738894798
LBY,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
LKA,EJ,Energy use,0.192767837,0.187318652,0.19263289,0.198222054,0.192624777,0.22243103,0.238802561,0.242784596,0.228872892,0.232055423,0.250617228,0.272084302,0.280628846,0.285170879,0.306437909,0.343882449,0.373807153,0.366540431,0.377817551,0.389399725,0.371701002,0.382358564
LTU,EJ,Energy use,0.280923745,0.328477563,0.350564925,0.367603553,0.370712715,0.336529268,0.322281551,0.352657946,0.349569775,0.321220358,0.23661162,0.245681347,0.246791187,0.228063107,0.22008783,0.22995231,0.234206001,0.247399813,0.253658663,0.252611993,0.251923125,0.252673974
LUX,EJ,Energy use,0.133935121,0.143520092,0.15689574,0.164534044,0.186407206,0.189190691,0.185855898,0.180452343,0.179138704,0.171334637,0.180416652,0.175756012,0.172630594,0.164492514,0.159387165,0.154924078,0.152853239,0.159676789,0.16716359,0.170232525,0.145788954,0.151514175
LVA,EJ,Energy use,0.135915052,0.146391998,0.147680776,0.145867746,0.164000295,0.169047768,0.160356272,0.165334172,0.166447665,0.157763867,0.178828158,0.159625123,0.165339553,0.159345921,0.146683313,0.150259275,0.160200537,0.176267074,0.156821959,0.161308847,0.146501093,0.15196138
MAR,EJ,Energy use,0.422868139,0.456859618,0.468220846,0.469514903,0.534691304,0.57991515,0.591692502,0.586380523,0.647244841,0.631496018,0.700388278,0.735249502,0.747855891,0.767937133,0.778976039,0.793390954,0.802189119,0.83992633,0.869022758,0.948495689,0.864393172,0.955451734
MDG,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
MEX,EJ,Energy use,5.889787045,5.815412671,5.997982749,6.044984834,6.372828091,6.782949182,6.998350442,7.032896486,7.187125475,7.122738964,7.336261126,7.687863079,7.731667638,7.763674974,7.729461956,7.719363282,7.818504867,7.932166339,7.897639555,7.581279295,6.430212394,6.788998976
MKD,EJ,Energy use,0.111051778,0.104488439,0.102101383,0.11511218,0.113677469,0.117168634,0.119121586,0.118226242,0.114232,0.1125365,0.122006504,0.12170732,0.11293321,0.108443267,0.100671665,0.10613935,0.110123213,0.105961669,0.105848359,0.11179989,0.097366778,0.104596337
MMR,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
MNG,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
MOZ,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
MYS,EJ,Energy use,2.200662112,2.253251278,2.372893615,2.570918081,2.77781347,3.006328396,3.041205239,3.243930674,3.358027036,3.251745978,3.357392505,3.415949538,3.737089037,3.911032124,3.950237207,4.011648436,4.222105453,4.27806506,4.354111244,4.469520545,4.102116331,4.190895437
NGA,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
NLD,EJ,Energy use,3.62455004,3.764006067,3.76581999,3.791074377,3.919479354,4.004071081,3.922472942,3.987086597,3.939799656,3.88544781,4.113281789,3.942049119,3.812845633,3.698715194,3.490674855,3.540612273,3.606062259,3.551792152,3.550973611,3.547961846,3.38463179,3.474543751
NOR,EJ,Energy use,2.089833503,1.890004856,1.966175876,1.735316375,1.767422605,2.018796388,1.848794599,1.984576677,2.032281014,1.876513436,1.801419759,1.827071482,2.02325903,1.896773377,1.953340337,1.972489329,1.997855089,2.007132339,1.980439167,1.854222238,2.012702108,2.045226403
NZL,EJ,Energy use,0.826628091,0.817421496,0.847649047,0.820188613,0.849574627,0.823275433,0.830410534,0.827525293,0.830273975,0.827474324,0.845690198,0.850986049,0.856668272,0.863567085,0.902762204,0.907937768,0.91707872,0.933899621,0.927203404,0.949831619,0.861220682,0.841422425
OMN,EJ,Energy use,0.412557658,0.455348674,0.495525619,0.513287913,0.477651244,0.573575165,0.62663835,0.624242713,0.734310942,0.72885159,0.866480545,0.942263352,1.026611472,1.147892937,1.142952733,1.208036795,1.210471876,1.300434513,1.37097306,1.362940085,1.335192012,1.499264964
PAK,EJ,Energy use,1.741515496,1.782540552,1.850793625,2.015736279,2.243023069,2.327343152,2.452794506,2.607878033,2.620793399,2.655339946,2.666737515,2.664945998,2.476209765,2.706272398,2.793367168,2.93709218,3.202947718,3.390709797,3.497546081,3.540720574,3.515312822,3.856714938
PER,EJ,Energy use,0.535517088,0.529691534,0.542295172,0.534873554,0.568394341,0.594491798,0.599872614,0.656580565,0.706988907,0.724954978,0.825379892,0.910959492,0.940208214,0.961045347,0.98537851,1.032515653,1.102007906,1.134784332,1.195391924,1.22981378,1.039116482,1.199656761
PHL,EJ,Energy use,1.08512768,1.068517222,1.0614604,1.099410619,1.136261007,1.131318419,1.098437626,1.141511547,1.179981313,1.19198571,1.227303678,1.252372077,1.292903111,1.38531599,1.456494841,1.596435382,1.744010204,1.913440596,1.966883345,2.025710027,1.835846884,1.961677818
PNG,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
POL,EJ,Energy use,3.663088346,3.637643086,3.59848532,3.723143977,3.74838707,3.831643773,4.021132431,4.009735116,4.079922979,3.937019751,4.198229771,4.222549391,4.101268439,4.111015805,3.963397838,4.004332593,4.178475059,4.341242604,4.390684934,4.265093618,4.08304803,4.442018407
PRT,EJ,Energy use,1.055959722,1.071592917,1.063490372,1.092115339,1.071087947,1.069047999,1.061235223,1.069446035,1.03229351,1.041216543,1.098316162,1.047728153,0.956802967,1.050456823,1.071650937,1.04842114,1.121385661,1.086760385,1.107686486,1.054932423,0.953522868,0.956500828
QAT,EJ,Energy use,0.483116877,0.464296506,0.511302603,0.586569737,0.708733083,0.802300339,0.843381785,0.91925893,1.019094123,1.033246207,1.201968746,1.40663243,1.594997518,1.731171093,1.869912144,2.131970815,2.085637737,2.019562549,2.017468132,2.10659051,1.853049386,1.927189418
ROU,EJ,Energy use,1.513194911,1.5303782,1.588704546,1.588480188,1.646368214,1.649865131,1.683441561,1.624291735,1.628810075,1.423099012,1.436158683,1.471231053,1.414657238,1.319833616,1.369823965,1.37687136,1.377252091,1.400389363,1.427117091,1.394430457,1.32965525,1.403318455
RUS,EJ,Energy use,25.97072575,26.38176374,26.27445899,26.81448227,27.05071744,27.01404877,28.21297113,28.36200386,28.49265339,27.07988364,28.13247899,29.09026761,29.15566787,28.78728451,28.85624604,28.3683672,28.99342497,29.1686476,30.24322892,30.02360698,28.88028669,31.29704441
