country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,GHG emissions from residential buildings per capita,0.007408056474804063,0.007329921735519687,0.006961197992599723,0.007067004165514014,0.006934296245647769,0.0072209753470318435,0.007517970009372353,0.007567545346510044,0.009275804909415642,0.012622137189456407,0.011994907240102803,0.011478796739865854,0.00987450365962635,0.008622374962162522,0.0075262419209318416,0.007764677921111601,0.006922983276049749,0.007643021691772983,0.007544463694936194,0.007534440967066793,0.0028110990653313476
AGO,tCO2eq per capita,GHG emissions from residential buildings per capita,0.08928513064914183,0.09189743111445091,0.0935745977406327,0.09298370750905129,0.09043286535156102,0.0810374694266694,0.09651576550857188,0.09993910107264356,0.10675647065612641,0.11221520764048588,0.11000561524289411,0.11159821165071471,0.12177896795533681,0.1306538552784836,0.12226984642027829,0.1151411624357436,0.1063294573608471,0.10206886691847798,0.09844657475236683,0.09385067288762942,0.03961152510531466
ALB,tCO2eq per capita,GHG emissions from residential buildings per capita,0.0555985215085527,0.058957400709044885,0.20055009475550717,0.0857845300853792,0.11925809634749823,0.09667828674007227,0.0910595917457604,0.07067139770580437,0.07879547167353054,0.0952728601249044,0.09875774730082618,0.10320000344210974,0.09395717468032869,0.0950254107296072,0.1018790348841717,0.10320152330872012,0.10428487490529713,0.11291196736196157,0.10154601140952897,0.1038581604734932,0.07869058572179138
ARE,tCO2eq per capita,GHG emissions from residential buildings per capita,0.10310693051552504,0.14224213839372493,0.03355165102943024,0.03304633079117041,0.031626565799295424,0.02869275861106982,0.024838580012120356,0.02764788759518393,0.0422076690750218,0.061605363423804474,0.06404666630331377,0.07558855120804382,0.06022705186773691,0.09532083988011186,0.09580467742009002,0.10499211455035228,0.10900122444510318,0.10642441072745759,0.09579370357033759,0.09062258826188067,0.072616274367063
ARG,tCO2eq per capita,GHG emissions from residential buildings per capita,0.463294719484765,0.43881649127242445,0.40074822335049626,0.4195391198866326,0.4253234381092991,0.4540904661732298,0.5044297872052331,0.532934005417709,0.5242492683225134,0.5165733282289415,0.5542199506806497,0.5327668542750154,0.5580268742893411,0.5762155760020008,0.5535308939640727,0.5521696694743754,0.575429081947645,0.5087940429577504,0.49961014037194973,0.46916384630694347,0.43360561660160735
ARM,tCO2eq per capita,GHG emissions from residential buildings per capita,0.09542032188590227,0.10630248317919312,0.12630757889976718,0.1561001357218074,0.20568236710250723,0.2322172403834349,0.24052772665797023,0.34874743633242,0.3883480928527332,0.3656557618969466,0.3133952909553841,0.36180487085856045,0.40407782087406763,0.3966358011632414,0.42664818776797026,0.30513701087552836,0.41462505044876835,0.4420482931035126,0.4614587424845201,0.43841087956701896,0.4525098500489668
ATG,tCO2eq per capita,GHG emissions from residential buildings per capita,0.461699063112608,0.43196379034346993,0.45668483383994485,0.4930558392908927,0.44222138499259456,0.4380995952714149,0.39724106159705014,0.3680135542491283,0.3712753780125067,0.3998202548908845,0.16766599897762127,0.20982839350140056,0.2579299539858639,0.2859482546169817,0.28805130809619495,0.3193469441386754,0.35707387441811256,0.341978647314645,0.32914465154442163,0.31850706646758997,0.272152356833592
AUS,tCO2eq per capita,GHG emissions from residential buildings per capita,0.4036499514958492,0.40581559594086436,0.41127575597667343,0.40557155458045574,0.3921804010453412,0.38703495238982477,0.3861691794819764,0.39633795007586087,0.3892939363364268,0.4012214853607601,0.3992892706661977,0.4034416441092454,0.4016173161020548,0.40443492670764675,0.4061657882542814,0.40577810110390095,0.40994804130328805,0.3976221604382758,0.4033198036976645,0.4578726073292939,0.41603497990348987
AUT,tCO2eq per capita,GHG emissions from residential buildings per capita,1.1942982127339399,1.2178598290313472,1.139563560038738,1.1414891139151353,1.0914874342355314,1.1028671309284626,1.0558888598501253,0.9273672619823284,0.9437019356856027,0.9142498900018613,0.9978182486461256,0.8734207258340231,0.8610539801288044,0.8846841470629753,0.7548715440826477,0.805226560013255,0.8239900175902299,0.8332879066778243,0.8086446083890304,0.8271338233903007,0.6894233269678667
AZE,tCO2eq per capita,GHG emissions from residential buildings per capita,0.4143259824068782,0.4870422709340172,0.555752286541156,0.6167351119126558,0.6652934117859507,0.6753837730655338,0.6710881153390574,0.6100753275144792,0.7335469067941666,0.6434808345989932,0.6543332476653164,0.6488003476912122,0.5282438778697955,0.5016077458788818,0.548804747920809,0.5751324378524917,0.6526300925863298,0.5724969987415304,0.5885348164459724,0.6357446704168268,0.6339947338390177
BDI,tCO2eq per capita,GHG emissions from residential buildings per capita,0.095907148161485,0.1346942951133897,0.13324006092971513,0.13151179243036887,0.13044507730848573,0.12407437468235975,0.12275975894635144,0.122155357312293,0.11916303484425007,0.11777112586469017,0.11619580833892179,0.11441215356839153,0.0694151155765655,0.06990481208037229,0.06599400377944559,0.06471616549708396,0.06389985049583323,0.06182809119045793,0.05995576133033162,0.058158274872107445,0.0009087327400950366
BEL,tCO2eq per capita,GHG emissions from residential buildings per capita,1.9925813622728938,2.0626750053710805,1.8597678080014244,1.9837014646978792,1.9946159828817145,1.9832413552284618,1.7758143879602097,1.5613222460637883,1.7787175308471832,1.6319106482077097,1.8111690715855024,1.4574331072349782,1.4922428245711779,1.6474621716010538,1.3034108908537088,1.4769089192701637,1.4444541638286879,1.4179922687667283,1.4290286035228326,1.4003940898147613,1.160428033337142
