category,country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Enteric Fermentation (CH4) [AFOLU],AFG,MtCO2eq,GHG emissions from enteric fermentation,7.8038799999999995,6.4414755999999995,8.26203,8.4859516,8.2234936,8.0461612,8.050839999999999,8.2344388,9.110289999999999,9.3539404,10.777337199999998,10.7214856,10.280317599999998,10.047982,10.245667599999999,10.0701944,10.0033836,9.7557348,9.86727028,9.860184471,0.0
Enteric Fermentation (CH4) [AFOLU],AGO,MtCO2eq,GHG emissions from enteric fermentation,4.9577919999999995,4.9579796,4.8811756,4.8035428,4.685744,5.09509448,5.21347708,5.334913639999999,5.45933416,5.58520928,5.71797548,5.84740464,5.981788959999999,6.119734879999999,6.2592908,6.379228296,6.368765648,6.413705536,6.480334839999999,6.542590301,0.0
Enteric Fermentation (CH4) [AFOLU],ALB,MtCO2eq,GHG emissions from enteric fermentation,2.0791316,2.0454532,2.0034196,2.0302968,1.9446573999999999,1.8983888,1.8832828,1.78461472,1.67882848,1.5924644399999999,1.6049236,1.6000572,1.62355074,1.672748,1.703389772,1.72285428,1.7176869639999999,1.6734068119999999,1.63877126,1.622560813,0.0
Enteric Fermentation (CH4) [AFOLU],ARE,MtCO2eq,GHG emissions from enteric fermentation,0.6521583599999999,0.69115088,0.72948904,0.7664061999999999,0.76557152,0.8797415479999999,0.9260215439999999,0.973932204,1.0245521439999998,1.20475712,1.05686672,1.05401828,1.05851396,1.1771188799999999,1.2671576399999998,1.321175184,1.336300448,1.3659806159999999,1.372741888,1.402224338,0.0
Enteric Fermentation (CH4) [AFOLU],ARG,MtCO2eq,GHG emissions from enteric fermentation,91.68695199999999,91.87214399999999,97.06536,103.89106,105.75656,106.34609999999999,108.80547999999999,109.68552,107.71585999999999,102.17255999999999,93.02209672,91.109676,94.27935328,96.31715659999999,97.0295788,98.31548215999999,97.91660116,99.16752944,99.89286272,101.276888,0.0
Enteric Fermentation (CH4) [AFOLU],ARM,MtCO2eq,GHG emissions from enteric fermentation,1.0414634999999999,1.072706796,1.1208611119999998,1.1680880959999997,1.2305651119999998,1.2270991039999999,1.250769604,1.31141262,1.3218560039999998,1.218570388,1.183296744,1.1886753479999999,1.2486672239999999,1.377444796,1.4177229359999999,1.441640284,1.4728554399999998,1.3755476279999999,1.229214224,1.189297695,0.0
Enteric Fermentation (CH4) [AFOLU],ATG,MtCO2eq,GHG emissions from enteric fermentation,0.030649472,0.031506636,0.032014443999999996,0.032448892,0.033095636,0.033054476,0.033206851999999995,0.032812808,0.032680928,0.032540872,0.015314488,0.015387399999999999,0.015387399999999999,0.01536136,0.015387399999999999,0.015460368,0.015352343999999999,0.01538124,0.0147641088,0.015342973959999999,0.0
Enteric Fermentation (CH4) [AFOLU],AUS,MtCO2eq,GHG emissions from enteric fermentation,81.15882599999999,79.995384,79.496788,75.94353199999999,78.32877724,79.21087328,78.18419587999999,76.60278612,73.11606876,73.651564,70.54381404,75.41047443999999,75.92003663999999,78.11491043999999,77.169456,73.8000046,67.99122231999999,71.32168315999999,71.34469551999999,70.00648699999999,0.0
Enteric Fermentation (CH4) [AFOLU],AUT,MtCO2eq,GHG emissions from enteric fermentation,4.42222298,4.471802019999999,4.41407708,4.29989532,4.2548518600000005,4.15628514,4.15737084,4.155138399999999,4.1773618599999995,4.194997799999999,4.27923328,4.2890372,4.24111296,4.22206848,4.24405016,4.2650038200000004,4.2583388399999995,4.2641151,4.2506898,4.249563525999999,0.0
Enteric Fermentation (CH4) [AFOLU],AZE,MtCO2eq,GHG emissions from enteric fermentation,4.624927860000001,4.874021502,5.0531252659999994,5.29247789,5.473675031999999,5.63963316,5.860178071999999,6.027686321999999,6.195052528,6.326787446,6.425796342,6.449795463999999,6.510044828,6.588331694,6.652146269999999,6.70095125,6.6716041,6.593410488,6.528539122,6.4980402989999995,0.0
Enteric Fermentation (CH4) [AFOLU],BDI,MtCO2eq,GHG emissions from enteric fermentation,0.48986498399999995,0.511728644,0.47461721999999995,0.499307564,0.53872756,0.582501696,0.672348236,0.7408151519999999,0.811396068,0.9443434279999999,1.081870776,1.175390524,1.17046454,1.4525431759999998,1.4264768559999998,1.387936704,1.4667473519999998,1.936857888,1.931902252,2.123474324,0.0
Enteric Fermentation (CH4) [AFOLU],BEL,MtCO2eq,GHG emissions from enteric fermentation,6.2769742,6.238573432,5.917511795999999,5.699375052,5.6020972,5.4653979800000005,5.402299083999999,5.353572616,5.3627343839999995,5.3214260399999995,5.313924559999999,5.18121744,5.041645588000001,4.8858772759999995,4.966866519999999,5.053515432,5.041332996,4.842208616,4.8866390719999995,4.862272605,0.0
Enteric Fermentation (CH4) [AFOLU],BEN,MtCO2eq,GHG emissions from enteric fermentation,1.63328886,1.690026016,1.7344370679999999,1.7657079999999998,1.8113591999999998,1.819972,1.9078696,1.9562508,2.0069182,2.06411744,2.11676304,2.1712207999999995,2.2260644,2.2828847999999997,2.340702,2.39582756,2.456504288,2.519332536,2.583208656,2.648965313,0.0
Enteric Fermentation (CH4) [AFOLU],BFA,MtCO2eq,GHG emissions from enteric fermentation,6.589779672,6.76554928,6.9488944,9.051904176,9.274156864,9.501956296,9.716614264,9.936333232,10.16096581,10.3913525,10.62690636,10.86389074,11.10638777,11.35583131,11.61765629,11.88942306,12.18733258,12.46493651,12.6297645,12.915836409999999,0.0
