country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.01675466250002346,0.01941995121764288,0.013033498299660001,0.01597609943907891,0.012579256050011386,0.01729777574684047,0.019300705207849957,0.023712206663615808,0.04297166885365601,0.06040303289974934,0.07158205501353052,0.07758337092786627,0.058918317315749,0.04961963082768446,0.05003100488678666,0.0755980900924556,0.07101864162106193,0.10045052033260533,0.10090164116345665,0.15910721381770035,0.15422663375251464
AGO,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.044557835200525114,0.04855707024645055,0.04696709210317375,0.056857012207117544,0.03492199850006434,0.03959643753675335,0.043242217007971,0.04685211472081801,0.06405203175422007,0.09915655973821053,0.10170722124149484,0.0923058143750005,0.10782327512130134,0.15397168057886085,0.21108706238449862,0.22054857178104734,0.21954036913328054,0.17989915879215485,0.17296703401422409,0.16032102362966016,0.13498977127552175
ALB,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.09185588050865207,0.08916247395163604,0.09312291241261089,0.05689910271560618,0.055304749781875356,0.04735318332770488,0.04765288431560139,0.03026992909468195,0.0,0.002117886169141857,0.005321067029726184,0.010670801787831795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,tCO2eq per capita,GHG emissions from electricity & heat per capita,9.354889190307674,9.830960749951101,10.373028355720082,10.806242839643302,11.856073509239224,11.24536739939785,10.409196052505466,8.955385067158428,9.380035208476325,7.277366288898026,6.8861987651926935,6.670443321606951,7.2128337496354575,7.17965437358147,7.69844794578618,7.82870714083371,9.168513771268485,9.355717658075518,9.010725842039106,8.916030495185213,8.531110982366739
ARG,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.8236952001253242,0.6524473946043695,0.5852857663723251,0.6710589792560181,0.8340637946044331,0.8431658789655414,0.9076450806309493,1.0305427070244877,1.1139741247034474,1.09166843951896,1.1197504602589363,1.2224407538360829,1.306911427575375,1.2350931069130617,1.2226577478058098,1.2706416271402978,1.268860495052485,1.1612664969773625,1.1465745673476693,1.048110929614538,0.9763109254840412
ARM,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.5220852362704289,0.5051098457855053,0.30267027112277745,0.29127263151197935,0.25576032762191675,0.3187772017353725,0.3056673791814964,0.36914069900072116,0.3581563250292766,0.22365785653098547,0.2201242914398637,0.32897743466447144,0.49685925472889036,0.4564490730754802,0.5333937947461255,0.4351003709034752,0.3999657575046482,0.4211225924845549,0.4467905730888991,0.4220679061766328,0.46304311438111195
ATG,tCO2eq per capita,GHG emissions from electricity & heat per capita,2.2409908008472903,2.224804270061649,2.336528635469616,2.69017336182875,2.8022572504262757,2.7896004480616727,2.736993554977936,2.7785607218936317,2.8864580216408644,3.20215287458354,3.5731146109280925,3.768617425210084,3.7621697877376756,3.7914055523986447,3.759855628659709,3.792298799841831,3.661048621455776,2.154631279014933,2.073766400781039,2.0067396632857952,1.7159529450208315
AUS,tCO2eq per capita,GHG emissions from electricity & heat per capita,9.384051260899076,9.659573795909957,10.383844840571156,9.460260864320393,9.811395913033973,9.937780630356757,9.965996627677203,10.211992922852371,10.008298199461626,10.290728518281187,9.605384624462422,9.114173086832851,8.913075894941663,8.313992294837165,7.800648960801401,8.029343863231412,8.078467318319234,7.82011769435319,7.506885956387078,7.338874884218855,6.938288521269015
AUT,tCO2eq per capita,GHG emissions from electricity & heat per capita,1.6921339436010385,1.9004168736453646,1.865811782962963,2.156313489643378,2.212564715761176,2.263357551548531,2.1375810922254335,2.0066481582093973,1.92563846452609,1.7512780495253508,2.0757053312263762,2.0433760420933065,1.8191404664607589,1.726099400895514,1.4977238392596797,1.596137964540938,1.5336648399595816,1.6786960381996563,1.5590840370154653,1.5890648890980998,1.3940587666246789
AZE,tCO2eq per capita,GHG emissions from electricity & heat per capita,1.9065346420495488,1.7055460560706182,1.5493863631079485,1.7332296328681942,1.6037344368867752,1.663829995769705,1.6946128787030543,1.4557578840035894,1.335335135906155,1.058127873580722,0.9241160304260989,1.0502999019304526,1.2660502621403424,1.2398189862990625,1.2867590913509996,1.2939120920278389,1.275751040294689,1.2493829805522267,1.2779881367488244,1.3722624281457336,1.3616825102958736
BDI,tCO2eq per capita,GHG emissions from electricity & heat per capita,0.008935838240027114,0.0070790863982875905,0.006357256584684219,0.0048094540292229395,0.006026423355873111,0.004526101693488414,0.005858542325361304,0.009050715051945848,0.005164220279484485,0.0048665594229155,0.00515847773746295,0.00609794991430395,0.004601676816289696,0.004933700256029631,0.003932297870615699,0.005829200762517132,0.007250629698583201,0.0036666212287602947,0.0037293402398254237,0.0037687620645523636,0.0029264007132920873
BEL,tCO2eq per capita,GHG emissions from electricity & heat per capita,2.554663831240093,2.347383525315047,2.3447729581134222,2.4368494669449596,2.3947768156200233,2.435591072753208,2.364264113490023,2.296521074376276,2.1698223534270347,1.9805161268571192,2.1294401237345104,1.8020253927610357,1.7868553809458814,1.5937760214319632,1.4777559628789467,1.5481027667072667,1.4284903589328861,1.4145264408635028,1.4335672002600146,1.4516430779755904,1.3393990553385016
