country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BDI,tCO2 per capita,Energy GHG emissions per capita,0.17025316793158396,0.16927457936075668,0.15882315384792622,0.15746662587136995,0.17630214390187837,0.18205979444948125,0.18811539724526455,0.18784311995988326,0.19076675950648964,0.13403260055795857,0.14234493846951912,0.17010070881425096,0.16855311914259266,0.1592089111832826,0.16125214675684077,0.15343135650834772,0.1537885210670557,0.15517233923318918,0.15259465052379345,0.14527854839579737,0.15791404081743685,0.1596266121450624,0.11464426964678318,0.140456769607503,0.13205610027568235,0.1299208250681051,0.13157892227709342,0.1403896366586897,0.1404874053935889,0.13182341178589763
BEL,tCO2 per capita,Energy GHG emissions per capita,10.9356732597406,11.294933093014473,11.249200858762002,10.80869356114225,11.269718671244808,11.246140428187918,11.716476625087614,11.4917183507518,11.859247782614696,11.34316909956457,11.413242287525911,11.179625472825247,10.548946871535602,11.275877053619109,11.035264194300487,10.688433406813132,10.428558778865066,9.975813358178755,10.084059035442946,9.910625607778377,10.554732898258067,9.512365350203618,8.985379580967994,9.140270625491121,8.769694007265732,9.135906453994592,8.816192707323054,8.791086682048725,9.276231651657548,8.965112655779713
BEN,tCO2 per capita,Energy GHG emissions per capita,0.2812098208914392,0.2971164556686713,0.30008599339248154,0.324171944421354,0.3447542663340459,0.3352777183233676,0.32325436081618936,0.31520410898802925,0.30446928453581956,0.3586379680262997,0.33498661364362614,0.3589229372670533,0.3865449461304383,0.4148629436440604,0.4258062867846632,0.4021436133768751,0.5050570817947855,0.5653599912002545,0.5553693464866565,0.5735231527272032,0.641356353460835,0.6162250686488467,0.5807228385650123,0.6067212722475295,0.6289590028579235,0.670388187854684,0.7201939060006225,0.765982365224687,0.7531539956125515,0.7567058501327539
BFA,tCO2 per capita,Energy GHG emissions per capita,0.1997495639841549,0.19668321383907292,0.1914573453471025,0.18529233215315027,0.19966212279139056,0.19623622877576344,0.2005257244618439,0.20439635941955936,0.20695209523953656,0.14890058191765515,0.16281943299037013,0.18585821579963951,0.17082757908767823,0.1746397206270214,0.18878674281167618,0.20786868659399707,0.22488691116959778,0.2406674867136462,0.23962327409124407,0.23974483224400236,0.24863489510010467,0.24997023053535605,0.27577880053963333,0.2852492014925972,0.28488523475083544,0.3042414460115548,0.302472065578518,0.32980368709059793,0.3078252520597711,0.3065736224744153
BGD,tCO2 per capita,Energy GHG emissions per capita,0.1899741031373477,0.19318341889670015,0.19725197804839226,0.2011769011835645,0.21288356429248628,0.24051416266778589,0.23884417709838446,0.2480014846134511,0.24534813016766535,0.2564109630304517,0.2632035306998953,0.29518318918823305,0.29967222425790496,0.30862457762389617,0.32557969665739667,0.33660466799469674,0.3654525849256103,0.3708107298549833,0.38876217043882394,0.4145971217571352,0.4472289097061297,0.4609000840030598,0.4860742605050631,0.4903070646512022,0.513858036103834,0.5561376228016989,0.5747666635664294,0.5930409890080072,0.6258647739342664,0.6869219800700259
BGR,tCO2 per capita,Energy GHG emissions per capita,8.568194974954375,6.776820308960451,6.72118240352293,8.486466446648041,6.703309054169014,7.173390361984981,7.043073716946879,6.761253637482273,6.467407536055797,5.773008239081463,5.495600337422516,5.9556941305323345,5.831193208867344,6.263402169452166,6.142394704581915,6.280216196116137,6.433345410656619,6.944685579360394,6.699978818991263,5.76268768529761,6.071178277783854,6.858703095452462,6.2962914295976065,5.588349255311169,6.021646365181982,6.366683937051468,5.962550692203032,6.373705173314611,5.992850998507197,5.848824235807392
BHR,tCO2 per capita,Energy GHG emissions per capita,49.60407479326595,51.20036409147799,51.42597145380648,58.55892818512081,56.95154569770193,55.70358596269634,56.85539547334277,53.956199668194586,54.91309229147283,54.98476136613567,54.16710552053083,45.44477098415884,43.93720923905651,41.607380430148396,40.24843163671331,40.037923561305824,36.41398422199801,41.21924002146876,42.52475003252157,38.98487437503955,37.31271114320345,35.98943162516537,36.155459243566256,40.531425542706664,40.26726084577714,40.310441424846545,37.94379689057248,36.81202508304458,30.902742379447442,30.95364022120885
BHS,tCO2 per capita,Energy GHG emissions per capita,7.25918814176492,7.126245656246768,7.0293352579427735,6.566690646154981,6.416553984245004,6.281698485610984,6.162405803225579,5.393874646353218,6.67584308327598,6.767257356416822,6.676844100723045,6.278542585041207,6.370731041386999,6.355330014083922,6.271696148864979,5.725754814559425,5.467749341453394,5.424038270591339,6.954143389199256,4.691075514874142,6.818130592557531,5.089228356179241,5.335812377434465,7.9256567945484555,6.475548060708263,5.531801175841796,4.815795810257645,5.239044503063531,5.341838785379958,5.49442085209738
BIH,tCO2 per capita,Energy GHG emissions per capita,3.09179817637678,2.279530910988438,4.109906457111827,3.5793613046526795,0.8687861152736918,0.9558509175515906,1.1927471410594837,2.435714534256585,3.0527499117648165,2.9919700332829953,3.865454460147964,3.7544794134704333,3.9634100115736897,4.0667921435955074,4.383408506575378,4.594548369174352,4.966242827497157,4.969715299095804,5.700189731081563,5.942271634084548,6.207026461903161,7.074235497748946,6.685211424665712,6.690005470561435,6.260579086334534,6.123588002666385,7.235114342861142,7.339922554865922,7.400880103034692,7.9975813375227744
BLR,tCO2 per capita,Energy GHG emissions per capita,9.303833768362804,9.250494160809492,8.701635692171562,7.627660769309653,6.44375574156726,6.033060583405787,6.0435634621901775,5.999545536896563,5.857845188668782,5.6847999818086405,5.511237413085281,5.469077102807269,5.493866128875963,5.603899824319272,6.001965438134227,6.136229468077896,6.465433771261491,6.317361878047094,6.601605691024912,6.291701592800021,6.505806300319828,6.616187061803114,6.56304396519639,6.55497372662752,6.487791996943436,6.045823963363152,6.051083180850614,6.174021346255927,6.727560803641571,6.65622195389733
