country,unit,variable,2014,2015,2016,2017,2018,2019,2020
BHR,MtCO2eq,Total GHG emissions (excluding LULUCF),62.41314145449335,62.78441137844217,62.91432674557383,62.78345774726792,63.79100539935685,66.87443301580124,36.67224635
BHS,MtCO2eq,Total GHG emissions (excluding LULUCF),3.4150052472667998,3.2116500024265,3.2545637681347,2.6870503456063997,2.6236056163341,2.5741661346680997,1.8877983853899998
BIH,MtCO2eq,Total GHG emissions (excluding LULUCF),27.302124578814997,27.22574132133,30.202302036249996,30.783421314639998,31.271088465320002,34.33590619703,23.432490086007995
BLR,MtCO2eq,Total GHG emissions (excluding LULUCF),105.20168565087,100.40505785655,100.50657019674,100.89205440881,103.43146711405201,102.39102033152601,58.96937473792
BLZ,MtCO2eq,Total GHG emissions (excluding LULUCF),1.0681752741789998,1.1413192155899998,1.152619046574,1.061671027893,1.0554905371669998,1.1077743809429998,0.40317115083199995
BOL,MtCO2eq,Total GHG emissions (excluding LULUCF),54.534538684279994,54.82553559464,57.0083239315,58.861853879689995,60.23592747899,59.62022501589,20.6396253399
BRA,MtCO2eq,Total GHG emissions (excluding LULUCF),1338.578704632,1322.301318798,1300.6746847299999,1311.6918213689999,1293.075798686,1303.51775981,451.8006445849
BRB,MtCO2eq,Total GHG emissions (excluding LULUCF),1.8796672979549998,1.9355347536610001,1.9118991104199001,1.607175113973,1.568517558272,1.548980921291,1.1367388497000002
BRN,MtCO2eq,Total GHG emissions (excluding LULUCF),13.603157015303099,12.7788690620637,13.097938742820098,13.7424649144727,13.7371115931591,14.436296154680898,7.980838275289999
BTN,MtCO2eq,Total GHG emissions (excluding LULUCF),2.2416888317933004,2.3614983526205995,2.4168481827490997,2.3127175995920997,2.4524408636351,2.6376468123374,1.45789969661
BWA,MtCO2eq,Total GHG emissions (excluding LULUCF),12.006737620731,12.408043663662,11.925943604481,12.131205395454998,13.198623254023,12.732228723542999,7.054714897999999
CAF,MtCO2eq,Total GHG emissions (excluding LULUCF),10.1571585625791,10.3735306321233,10.7981222726166,10.9926502891133,11.1404229184892,11.2865356815054,0.3541059510999999
CAN,MtCO2eq,Total GHG emissions (excluding LULUCF),773.2319174864,777.4564368338999,768.0778732696,766.6727347786,776.4018999414,778.3249680636999,542.787421817
CHE,MtCO2eq,Total GHG emissions (excluding LULUCF),50.822901156057995,49.954508375109995,50.368520574104004,49.670287644586,48.391689338755995,49.251149994645,35.29942281162
CHL,MtCO2eq,Total GHG emissions (excluding LULUCF),114.10767592293,119.10027309556999,124.50407484736999,126.72671676546999,128.07739479725,130.00425880241,84.55597123480001
CHN,MtCO2eq,Total GHG emissions (excluding LULUCF),13467.9755005909,13394.261852423599,13359.1139231819,13574.891512800998,13930.514024629298,14219.3686005885,11680.416049278
CIV,MtCO2eq,Total GHG emissions (excluding LULUCF),27.386618884429996,28.40025830594,29.709984221259997,30.41045643739,30.56490833138,30.44294455644,12.098278293019998
CMR,MtCO2eq,Total GHG emissions (excluding LULUCF),37.33177603126,40.824152275130004,41.761831114601,40.4590139055,41.87072029508,42.431122028227996,9.313937092
COD,MtCO2eq,Total GHG emissions (excluding LULUCF),47.95681167555001,47.40639216227,47.473701346039995,50.46201251626999,50.7097640155825,51.2520384977865,3.2328238511999996
COG,MtCO2eq,Total GHG emissions (excluding LULUCF),20.98151045362,20.813215106572,20.587986115038998,22.348264202864996,23.37999533467,23.521870001505,6.182902340029999
COK,MtCO2eq,Total GHG emissions (excluding LULUCF),0.09970311853539998,0.09712393064134,0.09640561040276,0.06524523495909,0.06677667105566999,0.06847273776021999,0.0553308458
COL,MtCO2eq,Total GHG emissions (excluding LULUCF),190.37950144784998,191.6280408566,202.030501806,194.07824781044,201.29715224174,210.1167609056,90.2524254174
COM,MtCO2eq,Total GHG emissions (excluding LULUCF),0.63018784367855,0.65618966183195,0.7015525559185001,0.7867744035434,0.8104052298749,0.8321847679802999,0.24984557599999999
CPV,MtCO2eq,Total GHG emissions (excluding LULUCF),1.0441867688392,1.0582215964812,1.1110843262004,1.1012343532397,1.1466858368100998,1.1578167227606,0.8034390791289999
CRI,MtCO2eq,Total GHG emissions (excluding LULUCF),14.767344468069,14.529523230259999,15.303419697379,15.612352349859997,15.664407926631998,16.509018178576998,7.817608675199999
CUB,MtCO2eq,Total GHG emissions (excluding LULUCF),48.6742260899,48.61777182838999,49.65421502385,47.582698496240006,46.8851952197,46.79922701323,22.93774745797
CYP,MtCO2eq,Total GHG emissions (excluding LULUCF),8.3350499462766,8.315489064968,8.735244404905401,8.9111824818308,8.687876559871698,8.9022084403308,6.2715518675999995
CZE,MtCO2eq,Total GHG emissions (excluding LULUCF),130.86596821304,132.36649344498,133.37495086457997,134.29035377193998,132.51130880385998,128.49760664771,92.08231786834
DEU,MtCO2eq,Total GHG emissions (excluding LULUCF),909.5581485975,914.7875673286001,918.7754719847,902.9289299543999,878.2141611963999,821.7486980397999,636.8764642950999
DJI,MtCO2eq,Total GHG emissions (excluding LULUCF),2.1454907955593,2.0778902100154,2.0662676828125,2.2729598167864,2.318669676271,2.3573714031143997,0.8545225549
DMA,MtCO2eq,Total GHG emissions (excluding LULUCF),0.24663681496699996,0.2545200127401,0.2503427300125,0.25836564298,0.2533228883034,0.2493161062722,0.15251177834999996
DNK,MtCO2eq,Total GHG emissions (excluding LULUCF),52.3837022217,49.84609642631,51.974434786290004,49.6779258761,49.63337860362,45.3470463164,25.7075521726
DOM,MtCO2eq,Total GHG emissions (excluding LULUCF),36.69257165359,39.073171787949995,40.50213466947999,39.80665370765,42.081529768894,45.119737969734,29.0927790089147
DZA,MtCO2eq,Total GHG emissions (excluding LULUCF),248.362732125558,258.903715570753,261.67181799528595,264.581349422345,275.13859921739703,279.05380218663674,163.473371268
ECU,MtCO2eq,Total GHG emissions (excluding LULUCF),74.2188066506,72.10922683287001,70.76357398698,69.05550161398,70.41685478843999,69.47777272774,33.27863996839999
EGY,MtCO2eq,Total GHG emissions (excluding LULUCF),334.4168802898199,339.6245772334,349.83441031021,365.93251580173995,406.2701313995,391.57483677468,269.545487767
ERI,MtCO2eq,Total GHG emissions (excluding LULUCF),6.185925644298,6.243893078120999,6.351063716833999,6.425181444326,6.582605379814,6.680214809906,0.7268066746999999
ESP,MtCO2eq,Total GHG emissions (excluding LULUCF),342.14116228945,352.61371647088004,343.5876824116,357.83428269813,351.93319537043,332.24621816139995,214.84672246099998
EST,MtCO2eq,Total GHG emissions (excluding LULUCF),26.647061360965004,24.571472269816,24.241632146241,25.279273640479996,25.345077314685998,20.907217739618996,14.370043018499999
ETH,MtCO2eq,Total GHG emissions (excluding LULUCF),138.9041703837,142.50320303152998,148.63293959271002,154.10653071296997,156.697893791516,160.75741278479697,17.009320673
FIN,MtCO2eq,Total GHG emissions (excluding LULUCF),82.03987291626,78.74495765358999,77.550642020228,75.233637844135,76.86831902911199,73.951939523139,40.70443933905
FJI,MtCO2eq,Total GHG emissions (excluding LULUCF),3.2975499110949995,3.294879910052,3.1557771918379998,3.288702821194,3.380491443414,3.4492799408609995,2.38012357793
FRA,MtCO2eq,Total GHG emissions (excluding LULUCF),457.03083999081997,462.57029715129994,463.9319873352,466.9694620051,454.9596050291,446.4521256904499,279.99067607029997
