category,country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Metals [Industry],AFG,MtCO2eq,GHG emissions from the metals industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000870543,0.002679851,0.006013701,0.007792576,0.006888332,0.00838632,0.008913653,0.0032214789999999997,0.0019526116999999997,0.002502431,0.0016205414,0.0006249709947,0.00010156
Metals [Industry],AGO,MtCO2eq,GHG emissions from the metals industry,0.00035999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metals [Industry],ALB,MtCO2eq,GHG emissions from the metals industry,0.16976501881699996,0.18127600546800002,0.156611622501,0.18752413178599997,0.186525115952,0.16164861158599997,0.125019356275,0.100464011124,0.097622322,0.07190840700000001,0.100789974952,0.095257486818,0.086446391,0.083130727,0.219114552,0.076790854,0.082838797,0.07876425299999999,0.09725960840999999,0.10370396629999999,0.099065585
Metals [Industry],ARE,MtCO2eq,GHG emissions from the metals industry,1.164544,1.117108,1.121259,1.16692,1.3993974329999999,1.412611095,1.5645398189999997,1.9098774159999998,1.707477286,1.87040434,2.60166,3.3184175,3.3728635199999997,3.4109425499999997,4.1481632799999995,4.44192685,4.48989953,4.725089,4.7930752,4.9139966909999995,3.6602764
Metals [Industry],ARG,MtCO2eq,GHG emissions from the metals industry,7.741064173999999,6.364332418999999,6.732041238,7.501255314,7.816848712,8.182733745,8.603995682999999,8.27123945,8.831639914,6.959008013,7.751794963,8.197840022,7.73679707,9.294960732999998,9.654427315,13.747633898000002,12.672393839000001,13.027952684,12.809829695,11.176668403,6.971200349999999
Metals [Industry],ARM,MtCO2eq,GHG emissions from the metals industry,0.007013212287,0.02804816685,0.02804865701,0.028050090499999996,0.01602396381,0.01903131571,0.01702196942,0.02904946553,0.024030715419999998,0.018066661629999998,0.02007683904,0.029095607729999997,0.03509953991,0.03108321667,0.11834936592999999,0.13729408734999998,0.13868148488,0.15890554131999998,0.17191180047000001,0.15294913978,0.0943102
Metals [Industry],AUS,MtCO2eq,GHG emissions from the metals industry,75.55879384,77.89394127000001,75.93127032999999,72.38214962,75.19812762000001,75.88246411,75.42745210999999,77.72398718999999,77.07925734999999,76.00718103999999,77.66870106999998,73.59411948,69.70612084999999,65.78825075,62.734250659999994,58.08885237999999,58.471300459999995,56.00103925,54.87893459,54.21470963,26.19168529
Metals [Industry],AUT,MtCO2eq,GHG emissions from the metals industry,8.9603145356,8.491901027699999,8.665313680199999,8.7121728909,8.7643638445,8.786846114700001,8.654701895399999,8.7665234289,9.3768272774,7.3735599532,8.9079615663,9.489673416999999,9.286142200399999,9.481786077899999,9.340314275799999,8.701764451899999,8.596610105,8.7503530193,8.0270712246,8.2290659863,6.357265377
Metals [Industry],AZE,MtCO2eq,GHG emissions from the metals industry,0.34213017950999997,0.35279049381,0.38437677389999997,1.2258441583,1.1298979062,1.3261606877999998,1.2517549228,1.9158318354000001,2.0222476831,0.4999291686,0.2790063285,0.44063349789999995,1.0764818965,0.9532619053,0.9138408188,0.9124840216,0.8119794020999999,0.8025636675000001,0.8520895271000001,0.8311191307,0.16119857
Metals [Industry],BEL,MtCO2eq,GHG emissions from the metals industry,18.188425264,18.456131712,14.081309107000001,15.119585070999998,13.80301134,11.674175738,10.925221183,10.519455272,10.409483701,5.730677270999999,8.671251162,7.990274585,6.824384486,7.244882121,7.051822457,7.202586642000001,7.821247541999999,7.899403843,7.9776629219999995,7.960111990999999,5.8449285
Metals [Industry],BEN,MtCO2eq,GHG emissions from the metals industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019701692,0.093844755,0.0,0.0,0.003909784698,0.0
Metals [Industry],BGD,MtCO2eq,GHG emissions from the metals industry,0.008484,0.008484,0.008484,0.008484,0.008484,0.008484,0.008484,0.008484,0.008484,0.0028,0.076,0.076,0.076,0.076,0.11199999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.152,0.204,0.20718799999999998
Metals [Industry],BGR,MtCO2eq,GHG emissions from the metals industry,6.921573087999999,6.8432813139999995,5.881821431,7.199306607999999,6.565776562000001,5.982146896,6.047848801,5.982386307,4.061217547,2.1040557635,1.9174589174999999,2.2090740295,1.6846518975,1.5415113982,1.6816483352999998,1.6017624419999998,1.3696396299999998,1.6948304649999997,1.5778429951000001,1.6234015121999998,0.2585575508
