category,country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Domestic Aviation [Transport],AFG,MtCO2eq,GHG emissions from domestic aviation,0.04176944328,0.04122342026,0.0191135308,0.024124545639999998,0.023850665799999997,0.03346977633999999,0.03967648264,0.03865487507,0.0928373057,0.16127731169999998,0.1313207498,0.1875271441,0.1612373725,0.1302461157,0.1088197581,0.1386372593,0.09419843606,0.1283839528,0.13209163599999998,0.13619107569999997,0.132207411
Domestic Aviation [Transport],AGO,MtCO2eq,GHG emissions from domestic aviation,0.0,0.0,0.0,1.008904176,1.069998499,0.7454391624,0.6619407717,0.6651105078999999,0.9703601572999999,0.6844179000999999,0.7165504239,0.7422694266,0.1703119149,0.1767238309,0.16706973379999998,0.1413504285,0.115702765,0.12917479199999998,0.1283336413,0.12290988039999999,0.10636439999999998
Domestic Aviation [Transport],ALB,MtCO2eq,GHG emissions from domestic aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003097888998,0.0,0.0,0.0,0.0
Domestic Aviation [Transport],ARE,MtCO2eq,GHG emissions from domestic aviation,0.0,0.0,0.0,0.0,0.0,0.533413076,0.5944348412999999,0.6233247881,0.6683513824,0.652286576,0.6811753146,0.7101371023999999,0.6651105078999999,0.7165504239,0.8290097129999999,1.018557077,1.0314544529999998,1.092906491,0.9986477321999999,0.9584888824999999,0.7735335999999999
Domestic Aviation [Transport],ARG,MtCO2eq,GHG emissions from domestic aviation,1.4783660029999999,1.1834349779999997,1.003196002,0.97220961,1.152266631,1.121156686,1.059295146,1.152450534,1.2394213060000001,1.288994087,1.0869957879999999,1.037343858,1.1275354739999999,1.428832959,1.4257335619999998,1.525209671,1.751949815,1.699160042,1.6219615419999998,1.464979758,1.3099906599999998
Domestic Aviation [Transport],ATG,MtCO2eq,GHG emissions from domestic aviation,0.0032973144879999998,0.003219906637,0.002969255349,0.0037209284049999998,0.004944473524,0.005165374800999999,0.005398526347,0.005447914665,0.006072181179,0.006212416793,0.004449357348,0.006831401831,0.006691117368,0.0066632735519999995,0.006861235351,0.0069416897959999994,0.00692257703,0.006664247819,0.006471739139999999,0.006316668423,0.005420271399999999
Domestic Aviation [Transport],AUS,MtCO2eq,GHG emissions from domestic aviation,5.593296077,6.150866841,5.537250600999999,5.090251317,4.1028142789999995,4.003598694,5.557391404,5.7509442889999995,6.417858159,7.254245717,7.354320453,8.126446399,8.444769876,9.00000774,9.123537379,9.122085081,9.453506662,9.342932271999999,9.566747065,9.485327025,8.1690791
Domestic Aviation [Transport],AUT,MtCO2eq,GHG emissions from domestic aviation,0.10534031649999999,0.09914463199,0.102248568,0.09914463199,0.105346459,0.1065848175,0.11198350909999999,0.1145050485,0.112123007,0.10943497849999999,0.1060729005,0.1050373285,0.09860283049999999,0.09804447748,0.09486854897,0.095426895,0.09387347344,0.08939314657,0.08880091624999999,0.09219063444999999,0.07950054
Domestic Aviation [Transport],AZE,MtCO2eq,GHG emissions from domestic aviation,0.05266425426,0.09913244452999999,0.05266425426,0.1053283285,0.10223043550000001,0.1982651891,0.22304892619999997,0.2106571576,0.17967793659999998,0.1920691024,0.27571198739999997,0.31598448129999995,0.3376712307,0.48327125199999993,0.5111515772999999,0.585500888,0.7096775239,1.001843869,0.9450691753,0.9423032023999999,0.8195610999999999
Domestic Aviation [Transport],BDI,MtCO2eq,GHG emissions from domestic aviation,0.04117040209,0.03036868255,0.02601393561,0.019956819599999998,0.02643341576,0.01912762278,0.02355251794,0.039370257139999996,0.02330936795,0.022151785749999996,0.025160964879999997,0.002528699458,0.002207059016,0.002530556566,0.0019124709399999998,0.0032473341019999998,0.003883199845,0.001998068952,0.0021006464879999996,0.002191565236,0.001795996
Domestic Aviation [Transport],BEL,MtCO2eq,GHG emissions from domestic aviation,0.012769873999999999,0.013058049999999998,0.013032560969999999,0.017008470109999996,0.012679787029999999,0.01024978403,0.010826143029999999,0.01176271403,0.01362236611,0.013046013999999998,0.01455293113,0.015193836999999998,0.013334189949999999,0.01182727405,0.011461047,0.009319226012999999,0.007381535987999999,0.007381535987999999,0.007304318836,0.0068391169,0.004748792
Domestic Aviation [Transport],BFA,MtCO2eq,GHG emissions from domestic aviation,0.12292360009999999,0.13328176490000002,0.1316409424,0.1403328091,0.13128232,0.1267318757,0.1246825107,0.17575389809999997,0.1959414071,0.17950867499999998,0.1929575254,0.01880329682,0.02192492323,0.02588425691,0.02232176724,0.03071621397,0.0248013325,0.029372408909999998,0.03088023715,0.03114697404,0.027571147
Domestic Aviation [Transport],BGR,MtCO2eq,GHG emissions from domestic aviation,0.0619578,0.13631329849999999,0.08055126304999999,0.07125753599,0.05886600824,0.04027865627,0.07434935746,0.12391567889999999,0.04027865627,0.07125753599,0.0464743797,0.06506174199999999,0.03408283198,0.03718074372,0.027887067729999996,0.04027865627,0.05885987743,0.062071867989999994,0.06252138998,0.06528844137999999,0.05875172099999999
Domestic Aviation [Transport],BHR,MtCO2eq,GHG emissions from domestic aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.028889744439999997,0.03213168399,0.03213168399,0.022477738,0.07067520398999999,0.07391718506,0.09315279094000001,0.14459251010000002,0.1317684754,0.10604886799999999,0.102806789,0.08832594509,0.09157638819,0.09248709377999999,0.0870537
