category,country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Oil and gas fugitive emissions [Energy systems],AFG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.1532550629,0.12751912129999998,0.09765213269999999,0.0933776289,0.09819187919999998,0.1140796992,0.1006342719,0.1135077981,0.114076023,0.1092502035,0.148659042,0.169303245,0.16202920199999998,0.149742285,0.157090002,0.171901575,0.23840892199999997,0.18559788,0.190311435,0.1981576498,0.0
Oil and gas fugitive emissions [Energy systems],AGO,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,51.72687843999999,48.594288729999995,46.98055417,45.41526526,46.426878939999995,46.20171190999999,40.762382159999994,38.034070310000004,39.49676932,37.94630221,44.03857985,41.21950998,40.53235253,40.605784009999994,40.25952925,43.747580729999996,43.01023694,40.54130827,38.5901297,38.98607324,4.744590871
Oil and gas fugitive emissions [Energy systems],ALB,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.1923228084,0.1889100053,0.19660854199999997,0.2007036705,0.21309269109999998,0.21182781950000001,0.2175806782,0.22448028219999996,0.22142088889999997,0.22202413819999997,0.23375916209999997,0.19160639399999999,0.20497629769999998,0.22738885999999997,0.26547805690000004,0.27965270579999996,0.2876219806,0.24172366039999998,0.224838366,0.1979895455,0.0054924193839999995
Oil and gas fugitive emissions [Energy systems],ARE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,34.642100969999994,34.834119799999996,32.860777809999995,34.82493935,34.12931636,35.54515609,36.97402014,36.4624185,35.94032875999999,34.67408947999999,36.23826104,38.665234049999995,40.14486477,41.6320642,41.14793700999999,44.571583249999996,45.37782616,45.14258828,46.48901117,46.630800810000004,2.263984516
Oil and gas fugitive emissions [Energy systems],ARG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,25.34440739,25.759964670000002,25.702240449999998,26.98323428,27.54280046,27.03060952,27.034669089999998,26.3347105,26.34492998,26.05826681,25.26718455,25.14589419,25.534459329999997,24.76204665,24.938893859999997,25.22093326,26.03633753,25.758463879999997,26.22475043,27.84941603,2.213864992
Oil and gas fugitive emissions [Energy systems],ARM,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.372432525,0.35540368499999997,0.362396781,0.379723878,0.39552702,0.42979586999999997,0.43519641600000003,0.44058265799999996,0.44597560799999997,0.451333254,0.45667977299999996,0.462005646,0.46734139199999997,0.4677156003,0.46812894509999997,0.4685855268,0.4681433544,0.46828594199999996,0.46847485859999993,0.46866473369999995,0.0
Oil and gas fugitive emissions [Energy systems],AUS,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,11.69347488,11.894793,11.42582901,10.88278858,10.10446564,9.716141982999998,9.558070696,9.360703453,9.281455803999998,9.563518125,9.547678745999999,10.12533421,10.880238,11.44003623,12.81925281,12.41014259,12.29235332,12.444756759999999,13.323979689999998,15.911882239999999,1.9697393829999998
Oil and gas fugitive emissions [Energy systems],AUT,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,1.496749442,1.54128779,1.620615263,1.6949838089999998,1.7396200579999999,1.76201744,1.830290281,1.8768117949999998,1.918577866,1.98955079,2.026068315,2.031262216,2.106425359,2.131081666,2.212097037,2.251863958,2.1664347740000003,2.1766952259999996,2.1894539849999997,2.2009885980000004,0.09611283327
Oil and gas fugitive emissions [Energy systems],AZE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,4.473422596,4.5002173789999995,4.096569606999999,4.1922706849999996,4.151497742999999,5.170094998,5.845442854,9.997257841,13.089667579999999,11.00869451,11.037636849999998,10.78991007,11.332061439999999,11.77222971,11.786209679999999,11.49986916,11.2786581,10.80604752,10.862428249999999,12.68505073,0.317312979
Oil and gas fugitive emissions [Energy systems],BEL,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,4.848634069,5.003804809999999,5.249054274,6.2359753499999995,7.004821345,7.045646012,7.121599366999999,7.197702861999999,7.257339633999999,7.328682309,7.929412259999999,8.398743404,7.560623729,7.63946569,7.720910211,7.788070813,7.697675701,7.7273508699999995,7.763532981999999,7.843446458999999,2.9169699999999996e-05
Oil and gas fugitive emissions [Energy systems],BEN,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.0,1.3041e-05,6.554999999999999e-06,0.0,0.0,1.9596e-05,1.3041e-05,9.798e-06,9.798e-06,1.3041e-05,1.3041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil and gas fugitive emissions [Energy systems],BGD,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,3.702738973,4.131334109,4.369514219999999,4.701677996,5.05554074,5.39386108,6.082347688,6.457609457999999,6.875387973,7.425500588999999,8.011753802,8.073565496,8.46646075,9.080789067,9.309233745999999,10.09384519,10.94453921,10.92486301,11.421804329999999,12.347912169999999,0.03673636467
Oil and gas fugitive emissions [Energy systems],BGR,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.2620351619,0.2564764772,0.26217262319999995,0.2607927076,0.29108213959999996,0.3081653599,0.3141790111,0.30115857929999995,0.2942071217,0.2740668453,0.27742320270000004,0.31063912239999997,0.3103533469,0.30497596149999995,0.2951337796,0.2915371839,0.2944043991,0.29725453,0.2944659615,0.28373099459999995,6.300017e-05
Oil and gas fugitive emissions [Energy systems],BHR,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,20.595659079999997,21.01306931,19.68755435,18.73989593,18.599433039999997,18.95466151,18.51536498,19.15447116,21.198841329999997,21.776240329999997,21.04444209,21.20536121,23.95013441,26.85374616,27.522478239999998,27.42485407,27.59714817,27.05368149,27.54523923,28.95642109,1.130568006
Oil and gas fugitive emissions [Energy systems],BIH,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.025849178749999997,0.02636751723,0.029745578109999997,0.031262267909999995,0.03282756021,0.03254344131,0.03154650386,0.0315294098,0.03234017759,0.04009053183,0.04100449315,0.04180772252,0.04032432447,0.03932947449,0.03957734251,0.038976794249999995,0.03837054355,0.03857344709,0.038223284149999995,0.037622090799999994,7.30528e-07
Oil and gas fugitive emissions [Energy systems],BLR,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.4777120403,0.47943292969999995,0.4977643934,0.5102650683,0.5356029368,0.5470803408,0.5443748481999999,0.5263088828,0.5168975157,0.5100807129,0.4538957001,0.49329418239999995,0.5049177944,0.5077269819,0.5097988373,0.5351943203,0.4860527254,0.4826526738,0.478274958,0.49178055229999995,0.01061321692
Oil and gas fugitive emissions [Energy systems],BLZ,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.0,0.0,0.0,0.0,0.0,0.0,0.04713568682,0.057516614769999995,0.06216791421,0.05978131228,0.03434944958,0.05805512733,0.03210574191,0.023399033049999997,0.016868614730000002,0.015252706369999999,0.015252706369999999,0.01526466617,0.01327377121,0.01234279258,0.00011898099999999999
Oil and gas fugitive emissions [Energy systems],BOL,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,5.883981186,4.91773258,5.572835633,6.232749130999999,6.719478614,7.243188152999999,7.047317586,7.112672437,7.383709803,6.721156877,7.390793531,7.933841666,8.875885143,9.885686051,10.36851452,10.2646315,9.832841286,9.473149829999999,9.607949027,8.498547342,0.08866130319999999
Oil and gas fugitive emissions [Energy systems],BRA,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,18.339408199999998,17.74524362,18.21442275,18.55658632,18.45137742,23.18875979,21.24100719,19.98758521,23.283635949999997,25.10032575,23.74537694,24.703940030000002,26.88187219,27.03094079,29.33861936,30.139357179999998,30.86823788,32.03483142,33.06618562,34.00236423,2.331845106
Oil and gas fugitive emissions [Energy systems],BRB,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.060676511659999995,0.04721194002,0.038497111449999996,0.03831324601,0.041569955459999995,0.04241488169,0.03167393063,0.03438752897,0.03542642536,0.030846574789999998,0.027691677899999996,0.03376946041,0.029355842769999998,0.02832143836,0.026573631249999997,0.02623460107,0.02634017167,0.02634615187,0.026145111219999996,0.02595142509,0.004246298999999999
Oil and gas fugitive emissions [Energy systems],BRN,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,6.386790002999999,6.974634576,6.3347084879999995,6.737643127,6.234044243,6.092665284,7.281040366,7.05462939,8.935797798,7.346079770999999,6.781262857,7.159378052,6.986827,6.598807652,6.393450757,6.2817141759999995,6.129253349,6.449105318,6.161196994,6.579508558,0.49651595579999996
Oil and gas fugitive emissions [Energy systems],CAN,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,68.84765696,71.15664934,71.25795214,71.38367517,70.4218595,66.97319324,67.26001038,68.73818737999999,68.276412,67.80601454,65.86988284,66.10087392999999,66.32180007999999,69.74767248,73.08164484,76.13539470999999,74.62602254999999,72.2507154,74.51906106999999,72.3890859,2.658967387
Oil and gas fugitive emissions [Energy systems],CHE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.23066125349999997,0.23287423529999998,0.2310815761,0.22769738169999998,0.2728991044,0.3132241452,0.3514333676,0.3845956678,0.4157062319,0.442425598,0.4653717492,0.4859811972,0.501558903,0.5645306779999999,0.6339857683,0.71045045,0.6378953961999999,0.6618025988999999,0.6942220585,0.7431307299,0.012735455819999998
Oil and gas fugitive emissions [Energy systems],CHL,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,4.91198165,4.79312442,4.255322733,3.5109576860000002,3.29175731,3.1816376299999996,2.525357423,2.301758123,2.16186947,2.2633368939999996,1.9908682599999998,1.8831179189999998,1.9304123089999998,1.8461151839999999,1.69290986,1.656550126,1.715055048,1.7063745399999999,1.721804578,1.904157895,0.0489312015
Oil and gas fugitive emissions [Energy systems],CHN,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,49.03188633,51.03669736999999,51.21609099,56.73763975999999,60.34532158,66.34724208,72.46818802,74.5585143,78.04166214,80.30842197,83.12341989,87.57151040000001,89.46627267,94.10933709999999,98.85204918999999,101.62537909999999,99.96141812999998,102.6756182,106.305516,115.0035805,5.946923168
