country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,J per capita,Energy use per capita,,,,,,,,,,,,,,,,,,,,,,
ARE,J per capita,Energy use per capita,615.4350947187792,590.3123771846374,612.3129474822846,612.1231959861323,597.3182827804413,552.8400886007695,503.50340479516507,477.5771533281914,476.5143690247784,420.8558878405045,409.47027987608885,410.8018316761632,422.98504298701386,443.54452816879666,438.25739257158153,478.41054590270693,493.9104731077693,489.03822305534413,475.36433074314664,465.4774317165729,430.65055417374424,
ARG,J per capita,Energy use per capita,68.22344966460719,65.91153086449692,62.521309139017276,66.29752835194284,69.65978579428385,73.17947439487963,76.1022983121657,78.63099745004972,78.86501887380237,75.90254316983025,78.10142480765329,79.33948083309642,81.5136111664959,83.83974173834117,82.67001478808048,83.17552077269096,81.90087374348387,80.96539942014962,79.57239651766415,74.56614010210174,69.88366680100121,
AUS,J per capita,Energy use per capita,245.33672489949353,243.92866512131044,245.798385967412,246.24306874956017,251.19980399852935,248.94878689665993,255.8238557534822,260.3373136127062,259.5054723942548,250.52717620103542,246.54506246666742,250.6976780329332,242.741258316759,241.6258587108365,239.68475230074213,241.78783128733446,238.99126692521287,234.1681163131568,233.62011365630468,238.27683819260974,223.28577338958104,
AUT,J per capita,Energy use per capita,175.88677831525075,181.45690787440847,180.8503838859821,181.85403198429634,184.0846232106203,186.02702025042086,183.17823267451084,178.712142276879,181.61190367693501,175.51638429915755,180.8193004905658,168.74799917012675,176.85010790640226,174.61303237107663,166.31447168828447,164.65054215124235,168.33336782398047,170.89532411578386,166.073913517088,173.60368843413005,161.62121290624145,
AZE,J per capita,Energy use per capita,58.87626618293864,56.32376158891409,55.255845544821,59.338765135230325,66.69867621742009,71.57117906063621,69.62415614263573,62.27574994464709,61.56999680489307,53.29858236777519,52.02514884587841,57.049185649926606,57.94052798559003,58.796391895719154,59.15237776215593,63.919455121339375,62.62119663711497,60.820506385558076,62.04200247671702,64.87850023787237,63.26920394593506,
BEL,J per capita,Energy use per capita,261.04665050603586,257.87910566884784,255.54660413431617,264.26874954282107,264.1392981399246,259.7694137499252,258.78639107209193,258.66423209765003,260.7515829404985,241.90293468443875,255.48561068674968,235.67624329332943,224.56870421102784,229.6898461540116,212.56706920127178,214.23326293067817,229.83312703383567,231.52029765212933,228.709665238302,234.78683590710403,211.0129800651251,
BGD,J per capita,Energy use per capita,3.8386588990500243,4.3055693711281275,4.361786833605684,4.543511309955684,4.624343167599471,4.913362921219296,5.2520851766513355,5.3099588735852326,5.554600191578672,6.035965121623094,6.1117690909976865,6.566292592208857,6.948567131553872,7.077468967899635,7.282787771744906,8.375474850493536,8.423950992760973,8.660393167639267,9.076919735005383,9.992917306927529,9.592012479638715,
BGR,J per capita,Energy use per capita,95.8169622377595,101.00774027979527,100.79253992612887,105.37645722167055,102.80256542168706,112.10318160191734,115.12381177162754,112.25482383956822,111.22075696147151,97.96210475384123,102.771537640156,109.89743843769631,104.97789166765216,97.78392895363665,105.02795677371539,112.3865003452916,107.1909904596383,110.35093776140495,111.52212764146297,108.44025146503728,100.6438130001161,
BHR,J per capita,Energy use per capita,,,,,,,,,,,,,,,,,,,,,,
BLR,J per capita,Energy use per capita,92.00930447181804,89.9080390296709,93.60799957589785,93.55257085794481,105.47532493345936,105.8516277305833,113.246848387348,110.99165616649303,112.84398810451528,107.02470197798262,116.24980798908796,114.42392964942769,123.9643666937798,112.39409582185553,112.37726679801004,101.60671397206829,103.72706858601815,105.75417753419525,117.18771949991444,118.02586531416199,110.06643136340142,
BOL,J per capita,Energy use per capita,,,,,,,,,,,,,,,,,,,,,,
BRA,J per capita,Energy use per capita,47.24019252574366,45.52722572242877,46.06996740174476,46.34215254753494,47.981652857995286,48.7974906105563,49.50664522554027,52.00326804578825,53.650498612297575,52.830943185034975,57.65237943025912,59.72483823355567,60.32226018706702,61.86476978758978,62.78045408354661,60.63046652814289,58.797233341360645,58.961289818921436,58.732169656157765,59.49039173124104,56.45908866824145,
BRN,J per capita,Energy use per capita,,,,,,,,,,,,,,,,,,,,,,
CAN,J per capita,Energy use per capita,427.91754831969126,414.5447633985627,423.9853563506648,422.18633449572224,424.69521179199364,423.5152458834429,416.92873796934674,428.63737492978277,418.9792670149635,397.99993606688537,397.530226021323,408.5448768828557,405.4271655576784,410.9085911066668,407.87070819318615,407.4551386682564,397.3204147153904,398.95738804368375,396.66636719344814,389.0937498587147,363.392714143763,
CHE,J per capita,Energy use per capita,182.56750196610642,193.75987647883346,179.0149589148733,175.7859579253362,172.0486881269347,163.99125722810524,169.58124457003493,166.19233631262765,169.55233727897692,166.96702407374335,160.92316434606457,151.0695940724923,157.9805236079507,160.2311723345744,151.11427428382876,146.08683284402244,135.91160705563303,134.95865551169922,136.06025794868862,140.9683728111502,128.78754749720406,
CHL,J per capita,Energy use per capita,72.9005286022024,72.70131119187592,74.47319717990084,73.24850468297436,76.10031438081815,78.3709716658758,82.786231037108,83.58311571649975,82.1562112859781,79.65411054386237,79.06613045860547,85.07899035975338,86.32327746801086,86.44492075837987,83.8360716773592,84.83649269344988,87.84682201267589,87.43564907919061,89.97409468205899,91.54881773909767,84.73660331920414,
